"country","party_id","party","cmp_id","electionyear","vote","year_first","year_last"
"LITH",2504,"NS",88410,2000,19.6,2002,2010
"LITH",2505,"LLS",88422,2000,17.3,2002,2010
"LITH",2506,"TS",88620,2008,19.6,2002,2014
"LITH",2507,"LVLS",88820,2004,6.6,2002,2014
"LITH",2508,"LKDP",88521,2000,3.1,2002,2002
"LITH",2509,"LCS",88420,2000,2.9,2002,2002
"LITH",2510,"NKS",,2000,2,2002,2002
"LITH",2511,"LLRA",88951,2012,5.8,2002,2014
"LITH",2512,"LLS",,2000,1.3,2002,2002
"LITH",2513,"JL-PKS",,2000,1.2,2002,2002
"LITH",2515,"TT",88460,2008,12.7,2006,2014
"LITH",2516,"DP",88440,2004,28.4,2006,2014
"LITH",2517,"TPP",,2008,15.1,2010,2010
"LITH",2518,"LRLS",88450,2012,8.6,2010,2014
"LITH",2519,"FRONT",,2008,3.2,2010,2010
"LITH",2520,"DK",88952,2012,8,2014,2014
"POL",2601,"SLD",92210,2001,38.1,2002,2014
"POL",2602,"UP",92322,2001,2.9,2002,2002
"POL",2603,"PO",92435,2007,41.5,2002,2014
"POL",2604,"S",92622,2005,11.4,2002,2010
"POL",2605,"PiS",92436,2007,32.1,2002,2014
"POL",2606,"PSL",92811,2001,9,2002,2014
"POL",2607,"LPR",92713,2005,8,2002,2010
"POL",2608,"AWSP",92620,2001,5.6,2002,2002
"POL",2609,"UW",92434,2001,3.1,2002,2006
"POL",2611,"SDPL",,2005,3.9,2006,2010
"POL",2612,"SD",92211,2007,0.7,2010,2010
"POL",2613,"RP",92440,2011,10,2014,2014
"POL",2614,"KNP",,2011,1.1,2014,2014
"POL",2615,"PR",,2011,0.2,2014,2014
"ROM",2701,"PSD",93223,2000,36.6,2002,2014
"ROM",2702,"PC",,2004,5.3,2002,2014
"ROM",2703,"PRM",93712,2000,19.5,2002,2010
"ROM",2704,"PDL",93530,2008,32.4,2002,2014
"ROM",2705,"PNL",93430,2012,21.5,2002,2014
"ROM",2706,"UDMR",93951,2000,6.8,2002,2014
"ROM",2707,"CDR 2000",93411,2000,5,2002,2002
"ROM",2709,"UNPR",,2012,2.1,2014,2014
"ROM",2710,"PP-DD",93981,2012,14,2014,2014
"SLO",2801,"HZDS",96711,2002,19.5,2002,2010
"SLO",2802,"SDKU-DS",96523,2006,18.4,2002,2014
"SLO",2803,"Smer-SD",96423,2012,44.4,2002,2014
"SLO",2804,"SMK",96952,2006,11.7,2002,2014
"SLO",2805,"KDH",96521,2012,8.8,2002,2014
"SLO",2806,"ANO",96424,2002,8,2002,2002
"SLO",2807,"KSS",96222,2002,6.3,2002,2010
"SLO",2808,"PSNS",,2002,3.7,2002,2002
"SLO",2809,"SNS",96710,2006,11.7,2002,2014
"SLO",2810,"HZD",,2002,3.3,2002,2002
"SLO",2811,"SF",,2006,3.5,2006,2010
"SLO",2812,"SaS",96440,2010,12.1,2010,2014
"SLO",2813,"Most",96955,2010,8.1,2010,2014
"SLO",2814,"OLaNO",96620,2012,8.6,2014,2014
"SLE",2901,"LDS",97421,2000,36.3,2002,2010
"SLE",2902,"SDS",97330,2008,29.3,2002,2014
"SLE",2903,"SD",97322,2008,30.5,2002,2014
"SLE",2904,"SLS-SKD",97620,2000,9.6,2002,2014
"SLE",2905,"NSI",97522,2004,9,2002,2014
"SLE",2906,"DeSUS",97951,2014,10.2,2002,2014
"SLE",2907,"SNS",97710,2004,6.3,2002,2010
"SLE",2908,"SMS",97952,2000,4.3,2002,2002
"SLE",2909,"AS",,2004,3,2006,2006
"SLE",2910,"Zares",97440,2008,9.4,2010,2010
"SLE",2911,"SMC",,2014,34.5,2014,2014
"SLE",2912,"ZL",,2014,6,2014,2014
"SLE",2913,"ZaAB",,2014,4.4,2014,2014
"SLE",2914,"PS",97340,2014,3,2014,2014
"CRO",3101,"HDZ",81711,2011,21.9,2014,2014
"CRO",3102,"SDP",81223,2011,31.3,2014,2014
"CRO",3103,"HSS",81810,2011,0.6,2014,2014
"CRO",3104,"HSLS",81410,2011,3,2014,2014
"CRO",3105,"HNS",81712,2011,6.7,2014,2014
"CRO",3106,"IDS",81953,2011,1.5,2014,2014
"CRO",3107,"HDSSB",81952,2011,3,2014,2014
"CRO",3109,"HSP",81713,2011,3,2014,2014
"CRO",3112,"HL-SR",81230,2011,4.2,2014,2014
"CRO",3113,"HSP-AS",81713,2011,0.6,2014,2014
"MAL",3701,"PL",54320,2013,54.8,2014,2014
"MAL",3702,"PN",54620,2013,43.3,2014,2014
"LUX",3801,"CSV",23520,2013,33.7,2014,2014
"LUX",3802,"GRENG",23113,2013,10.1,2014,2014
"LUX",3803,"DP",23420,2013,18.3,2014,2014
"LUX",3804,"LSAP",23320,2013,20.3,2014,2014
"LUX",3805,"ADR",23951,2013,6.6,2014,2014
"LUX",3806,"DL",23230,2013,4.9,2014,2014
"CYP",4001,"DISY",55711,2011,34.3,2014,2014
"CYP",4002,"EVROKO",55430,2011,3.9,2014,2014
"CYP",4003,"AKEL",55321,2011,32.7,2014,2014
"CYP",4004,"DIKO",55422,2011,15.8,2014,2014
"CYP",4005,"EDEK",55322,2011,8.9,2014,2014
"CYP",4006,"KOP",55110,2011,2.2,2014,2014
