countrycode,countryshort,countryname,party_id,party_short,party_name,party_name_english,file
5,ESP,Spain,516,PA,Partido Andalucia,Andalusian Party,1999-2019_CHES_codebook
5,ESP,Spain,517,cc,Coalicion Canaria,Coalicion Canaria,1999-2019_CHES_codebook
5,ESP,Spain,518,IC,Iniciativa per Catalunya,Initiative for Catalonia,1999-2019_CHES_codebook
5,ESP,Spain,519,PSC,Partit dels Socialistes de Catalunya,Catalan Socialist Party,1999-2019_CHES_codebook
5,ESP,Spain,520,CHA,Chunta Aragonesista,Aragonese Council,1999-2019_CHES_codebook
5,ESP,Spain,521,CpE,Coalicion por Europa,Coalition for Europe,1999-2019_CHES_codebook
5,ESP,Spain,522,EdP-V,Europa de los Pueblos-Los Verdes,Europe of the Peoples-Greens,1999-2019_CHES_codebook
5,ESP,Spain,523,UPyD,Union Progreso y Democracia,"Union, Progress, and Democracy",1999-2019_CHES_codebook
5,ESP,Spain,524,Amaiw,Amaiur,Amaiur,1999-2019_CHES_codebook
5,ESP,Spain,525,Podemos,Podemos; Unidas Podemos,We Can,1999-2019_CHES_codebook
5,ESP,Spain,526,Cs,Ciudadanos-Partido de la Ciudadanfa,Citizens-Party  of the Citizenry,1999-2019_CHES_codebook
5,ESP,Spain,527,Vox,Vox,Voice (Latin),1999-2019_CHES_codebook
5,ESP,Spain,528,Pais,Mas Pais,More Country,1999-2019_CHES_codebook
5,ESP,Spain,550,PdeCat,Partit Democrata Europeu Catala (junts per Cataluyna),Catalan European Democratic Party (Together for Catalonia partner),1999-2019_CHES_codebook
6,FRA,France,601,PCF,Parti Communiste Frarn;ais,French Communist Party,1999-2019_CHES_codebook
6,FRA,France,602,PS,Parti Socialiste,Socialist Party,1999-2019_CHES_codebook
6,FRA,France,603,PRG,Parti Radical de Gauche,Left Radical Party,1999-2019_CHES_codebook
6,FRA,France,605,VERTS; EELV,Les Verts; Europe Ecologie Les Verts,Green Party; Europe Ecology-The Greens,1999-2019_CHES_codebook
6,FRA,France,609,RPR; Ul\IIP; LR,Rassemblement pour la Republique; Union pour un Mouvement Populaire; Les Republicains,Rally for the Republic; Union for Popular Movement; The Republicans,1999-2019_CHES_codebook
6,FRA,France,610,FN;RN,Front National; Rassemblement national,National  Front; National Rally,1999-2019_CHES_codebook
6,FRA,France,612,RPF/MPF; MPF,Rassemblement pour la France/Mouvement Pour la France; Mouvement Pour la France,Rally for France/Movement for France; Movement for France,1999-2019_CHES_codebook
6,FRA,France,613,UDF; MoDem ,Union pour la Democratie Francaise; Mouvement Democrat,Union for French Democracy Democratic Movement,1999-2019_CHES_codebook
6,FRA,France,614,LO-LCR,Lutte Ouvriere/Ligue communiste revolutionnaire,Workers Struggle/Revolutionary Communist League,1999-2019_CHES_codebook
6,FRA,France,615,DL,Democratie Liberale,Liberal Democracy,1999-2019_CHES_codebook
6,FRA,France,617,MEI,Mouvement Ecologiste Independant,Independent Ecological Movement,1999-2019_CHES_codebook
6,FRA,France,618,D,La Droite,The Right,1999-2019_CHES_codebook
6,FRA,France,619,CPNT,"Chasse, Peche, Nature, Traditions","Hunting, Fishing, Nature, Tradition Party",1999-2019_CHES_codebook
6,FRA,France,620,MN,Mouvement National  Republicain,National  Republican Movement,1999-2019_CHES_codebook
6,FRA,France,621,NC,Nouveau Centre,New Center,1999-2019_CHES_codebook
6,FRA,France,622,PRV,Parti radical,Radical Party,1999-2019_CHES_codebook
6,FRA,France,623,AC,Alliance centriste,Centrist Alliance,1999-2019_CHES_codebook
6,FRA,France,624,PG,Parti de Gauche,Left Party,1999-2019_CHES_codebook
6,FRA,France,625,Ens,Ensemble,Together,1999-2019_CHES_codebook
6,FRA,France,626,LREM,La Republique En Marche,The Republic Forward,1999-2019_CHES_codebook
6,FRA,France,627,FI,La France Insourmise,Unbowed France,1999-2019_CHES_codebook
6,FRA,France,628,DLF,Debout la France,France Arise,1999-2019_CHES_codebook
7,IRL,Ireland,701,FF,Fianna Fail,Soldiers of Destiny,1999-2019_CHES_codebook
7,IRL,Ireland,702,FG,Fine Gael,Family of the Irish,1999-2019_CHES_codebook
7,IRL,Ireland,703,Lab,Pairti Lucht Oibre,Labour,1999-2019_CHES_codebook
7,IRL,Ireland,705,GP,Comhaontas Glas,Green Party,1999-2019_CHES_codebook
7,IRL,Ireland,707,SF,Sinn Fein,WTe Ourselves,1999-2019_CHES_codebook
7,IRL,Ireland,708,SP,Pairti Soisialach,Socialist Party,1999-2019_CHES_codebook
7,IRL,Ireland,709,PBPA; S-PBP,People Before Profit Alliance; Dluthphairtiocht Pobal Roimh Bhrab,People Before Profit Alliance; Solidarity-People Before Profit,1999-2019_CHES_codebook
7,IRL,Ireland,710,DS,Daonlathaigh Shoisialta,Social Democrats,1999-2019_CHES_codebook
7,IRL,Ireland,711,I4C,Independents for Change,Independents for Change,1999-2019_CHES_codebook
7,IRL,Ireland,712,RI,Renua Ireland,Renua Ireland,1999-2019_CHES_codebook
8,ITA,Italy,802,PDS; DS,Partito Democratico della Sinistra; Democratici  di Sinistra,Democratic Party of the Left; Democrats of the Left,1999-2019_CHES_codebook
8,ITA,Italy,803,RC,Partito della Rifondazione Comunista,Communist Refoundation Party,1999-2019_CHES_codebook
8,ITA,Italy,805,AN,Alleanza Nazionale,National Alliance,1999-2019_CHES_codebook
8,ITA,Italy,806,PRI,Partito Repubblicano Italiano,Italian Republican Party,1999-2019_CHES_codebook
8,ITA,Italy,807,PSDI; SDI,Partito Socialista Democratico Italiano; Socialisti Democratici  Italiani,Italian Democratic Socialist Party; Italian Democratic Socialists,1999-2019_CHES_codebook
8,ITA,Italy,808,FdV;Verdi,Federazione dei Verdi,Federation of Greens,1999-2019_CHES_codebook
8,ITA,Italy,811,LN,Lega Nord,Northern  League,1999-2019_CHES_codebook
8,ITA,Italy,813,RAD,Radicali Italiani,Italian Radicals,1999-2019_CHES_codebook
8,ITA,Italy,814,CCD; UDC,Centro Cristiano Democratico; Unione dei Democratici Cristiani e die Democratici di Centro; Unione di Centro,Christian Democratic Center; Union of Christian and Center Democrats; Union of the Centre,1999-2019_CHES_codebook
8,ITA,Italy,815,FI,Forza Italia,Forward Italy,1999-2019_CHES_codebook
8,ITA,Italy,817,CU/UD,Unione  Democratica,Democratic Union,1999-2019_CHES_codebook
8,ITA,Italy,818,CDU,Cristiaj1i Democratici Uniti,United Christian Democrats,1999-2019_CHES_codebook
8,ITA,Italy,819,DEM; DL,I Democratici; Democrazia e Libert; La Margherita,The Democrats; Democracy is Freedom; The Daisy,1999-2019_CHES_codebook
8,ITA,Italy,820,LB,Lista Bonino,Bonino List,1999-2019_CHES_codebook
8,ITA,Italy,821,MS,Movimento Sociale Fiamma Tricolore,Tricolor Flame Social Movement,1999-2019_CHES_codebook
8,ITA,Italy,822,PdUP,Partito di Unita Proletaria,Party of Proletarian Unity for Communism,1999-2019_CHES_codebook
8,ITA,Italy,823,PPI,Partito Popolaje Italiano,Italian Popular Party,1999-2019_CHES_codebook
8,ITA,Italy,824,PsDA,Partito Sardo dAzione,Sardinian Action Party,1999-2019_CHES_codebook
8,ITA,Italy,825,RI,Rinnovamento Italiano,Italian Renewal-Dini List,1999-2019_CHES_codebook
8,ITA,Italy,826,SEG,Patto Segni,Segni Pact,1999-2019_CHES_codebook
8,ITA,Italy,827,SVP,Sudtiroler Volkspartei,South Tyrolean Peoples Party,1999-2019_CHES_codebook
8,ITA,Italy,828,IdV,Di Pietro-Italia dei Valori,Italy of Values,1999-2019_CHES_codebook
8,ITA,Italy,829,UDEUR,Popolari-UDEUR,Popular-UDEUR,1999-2019_CHES_codebook
