countryshort,party_id,party,year_first,year_last,partyfacts_id
MLT,3702,PN,2014,2023,699
LUX,3802,GRENG,2014,2019,1138
LUX,3805,ADR,2014,2019,1114
LUX,3804,LSAP,2014,2019,186
LUX,3803,DP,2014,2019,300
LUX,3801,CSV,2014,2019,539
LUX,3806,DL,2014,2019,271
LUX,3807,PPLU,2019,2019,2065
CYP,4006,KOP,2014,2020,858
CYP,4001,DISY,2014,2020,563
CYP,4004,DIKO,2014,2020,635
CYP,4002,EVROKO,2014,2014,1817
CYP,4005,EDEK,2014,2020,1028
CYP,4003,AKEL,2014,2020,1076
CYP,4007,SYM,2019,2020,3117
CYP,4008,KINHMA,2019,2020,4883
CYP,4009,ELAM,2019,2020,1013
BIH,3001,SDA,2007,2019,1454
BIH,3002,SBiH,2007,2007,
BIH,3003,SDP,2007,2019,537
BIH,3004,HDZ BiH,2007,2019,1760
BIH,3005,HDZ 1990,2007,2014,3168
BIH,3006,SNSD,2007,2019,292
BIH,3007,SDS,2007,2019,1166
HRV,3111,SDAH,2007,2007,
MKD,3201,VMRO-DPME,2007,2019,8840
MKD,3202,SDSM,2007,2019,8840
MKD,3203,LDP,2007,2007,
MKD,3204,DUI,2007,2019,1220
MKD,3205,DPA,2007,2019,431
MKD,3206,VMRO-NP,2007,2007,
MKD,3207,NSDP,2007,2007,
SRB,3301,SRS,2007,2019,
SRB,3302,DS,2007,2019,2189
SRB,3303,DSS,2007,2014,2190
SRB,3304,NS,2007,2007,
SRB,3305,JS,2007,2007,
SRB,3306,G17+,2007,2007,
SRB,3307,SPS,2007,2019,2178
SRB,3308,LDP,2007,2014,2196
SRB,3309,SPO,2007,2007,
TUR,3401,AKP,2007,2023,306
TUR,3402,CHP,2007,2023,1060
TUR,3403,MHP,2007,2023,1610
TUR,3404,DYP,2007,2007,
TUR,3405,GP,2007,2007,
BIH,3008,DF,2014,2019,4717
BIH,3009,SBB BiH,2014,2019,3171
BIH,3010,BPS,2014,2014,3683
BIH,3011,PDP,2014,2019,1673
BIH,3012,NDP,2014,2014,4716
BIH,3013,DNS,2014,2019,3170
MKD,3208,GROM,2014,2014,3973
MKD,3209,NDP,2014,2014,2914
SRB,3310,SNS,2014,2019,3177
SRB,3311,SDP,2014,2014,4771
SRB,3312,PUPS,2014,2014,2179
SRB,3313,SDS,2014,2014,4770
