huber_id,country,name_english,name,name_short,country_short,dummy_nir
1303,FINLAND,Social Democratic Party,Sosialidemokraattinen Puolue,SDP,FIN,0
1304,FINLAND,Liberal People's Party,Liberaalinen Kansanpuolue,LKP,FIN,0
1305,FINLAND,Swedish People's Party,Svenska Folkpartiet,SFP,FIN,0
1306,FINLAND,Centre Party,Suomen Keskusta,KESK,FIN,0
1307,FINLAND,Rural Party,Maaseudun Puole,SMP,FIN,0
1308,FINLAND,National Coalition,Kansallinen Kokoomus,KOK,FIN,0
1309,FINLAND,Christian Union,Kristillinen Liitto,SKL,FIN,0
1401,FRANCE,Republican Communist Front,Lutte Communiste pour la Republique,LCR,FRA,0
1402,FRANCE,Workers' Front,Lutte Ouvriere,LO,FRA,0
1403,FRANCE,Communist,Parti Communiste,PCF,FRA,0
1404,FRANCE,Socialist,Parti Socialiste,PS,FRA,0
1405,FRANCE,Ecologists,Generation Ecologie,GE,FRA,0
1406,FRANCE,Ecologist,Ecologiste,E,FRA,0
1407,FRANCE,left Radicals,Mouvement des Radicaux de Gauche,MRG,FRA,0
1408,FRANCE,Social Democratic Center,Centre des Democrats Sociaux,CDS,FRA,0
1409,FRANCE,Union for French Democracy,Union pour la Democratie Francaise,UDF,FRA,0
1410,FRANCE,Republican,Parti Republicain,PR,FRA,0
1411,FRANCE,Rally for the Republic,Rassemblement pour la Republique,RPR,FRA,0
1412,FRANCE,National Front,Front National,FN,FRA,0
1501,GERMANY,Democratic Socialist,Demokratisch-Sozialistische Partei,PDS,DEU,0
1502,GERMANY,Green,Die Gruenen,G,DEU,0
1503,GERMANY,Social Democrat,Sozialdemokratische Partei Deutschlands,SPD,DEU,0
1504,GERMANY,Free Democrat,Freie Demokratische Partei,FDP,DEU,0
1505,GERMANY,Christian Democrat,Christlich Demokratische Union,CDU,DEU,0
1506,GERMANY,Christian Social Union,Christlich Soziale Union,CSU,DEU,0
1507,GERMANY,Republican,Republikaner,Rep,DEU,0
1601,HUNGARY,Hungarian Socialist Party,Magyar Szocialista Part,MSZP,HUN,0
1602,HUNGARY,Alliance of Free Democrats,Szabad Demokratak Szoevetsege,SLDSZ,HUN,0
1603,HUNGARY,Federation of Young Democrats,Fiatal Demokratak Szoevetsege,FIDESZ,HUN,0
1604,HUNGARY,Christian Democratic People's Party,Keresztenydemokrata Neppart,KDNP,HUN,0
1605,HUNGARY,Hungarian Democratic Forum,Magyar Demokrata Forum,MDF,HUN,0
1606,HUNGARY,Independent Smallholders' Party,Fuggetlen Kisgazda Part,FKGP,HUN,0
1701,ICELAND,Womens' Alliance,Samtok um kvennalista,WA,ISL,0
1702,ICELAND,People's Alliance,Althydubandalag,PA,ISL,0
1703,ICELAND,Progressive Party,Framsoknarflokkurinn,PP,ISL,0
1704,ICELAND,Social Democrat,Althyduflokkurinn,SDP,ISL,0
1705,ICELAND,Independence Party,Sjaltstaedisflokkurinn,IP,ISL,0
1801,INDIA,Communist Party of India (Marxist-Leninist),,CPI/ML,IND,0
1802,INDIA,Communist Party of India (Marxist),,CPM,IND,0
1803,INDIA,Communist Party of India,,CPI,IND,0
1804,INDIA,People's Party -- A,Janata Dal  (A),JD A,IND,0
1805,INDIA,Janata Dal,,JD,IND,0
1806,INDIA,All Indian Anna Party (=rural Tamil party),,AIDMK,IND,0
1807,INDIA,Indian National Congress,,INC,IND,0
1808,INDIA,Bahurja Sanaj Party,,BSP,IND,0
1809,INDIA,Dravidian Progressive Federation =rural Tamil party,Dravida Munnetra Kazhagam,DMK,IND,0
1810,INDIA,Bharatiya Janata Party,,BJP,IND,0
1811,INDIA,Indian Union Muslim League,,IUML,IND,0
1901,IRELAND,Democratic Left,Democratic Left,DL,IRL,0
1902,IRELAND,Labour,Labour,LAB,IRL,0
1903,IRELAND,Republican Party,Fianna Fail,FF,IRL,0
1904,IRELAND,United Ireland,Fine Gael,FG,IRL,0
1905,IRELAND,Progressive Democrats,Progressive Democrats,PDP,IRL,0
2001,NORTHERN IRELAND,Sinn Fein,Sinn Fein,SF,GBR,1
2002,NORTHERN IRELAND,Worker Party,Worker Party,WP,GBR,1
2003,NORTHERN IRELAND,Labour,Labour,LAB,GBR,1
2004,NORTHERN IRELAND,Liberal Democrats,Liberal Democrats,LD,GBR,1
2005,NORTHERN IRELAND,Alliance,Alliance,A,GBR,1
2006,NORTHERN IRELAND,Conservatives,Conservatives,Con,GBR,1
2007,NORTHERN IRELAND,Democratic Unionist,Democratic Unionist,DUP,GBR,1
2008,NORTHERN IRELAND,Ulster Unionist Party,Ulster Unionist Party,UUP,GBR,1
2101,ITALY,Reform Communist,Rifondazione Communista,RC,ITA,0
2102,ITALY,Democratic Left,Partito Democratico della Sinistra,PDS,ITA,0
2103,ITALY,Green,Liste Verdi,RV,ITA,0
2104,ITALY,Socialist,Partito Socialista,PS!,ITA,0
2105,ITALY,Democratic Socialist,Partito Socialista Democratico,PSDI,ITA,0
2106,ITALY,Republican,Partito Republicano,PRI,ITA,0
2107,ITALY,Christian Democrat,Democrazia Cristiana,DC,ITA,0
2108,ITALY,Liberal,Partito Liberale,PLI,ITA,0
2109,ITALY,League of Northern Italy,Lega Nord,Lega,ITA,0
