country,type,party_abbreviation,party_native,party_english,partyfacts_id,election_years,party_id,dup
HRV,parliament,HDZ,Hrvatska demokratska zajednica,Croatian Democratic Union,1431,"2011, 2016, 2020",HRV-HDZ,FALSE
HRV,parliament,HDZ-DC,Hrvatska demokratska zajednica,Croatian Democratic Union,1431,2011,HRV-HDZ-DC,FALSE
HRV,parliament,HDZ-HDS,Hrvatska demokratska zajednica - Hrvatska demokrscanska stranka,Croatian Democratic Union - Croatian Demochristian Party,1431,2020,HRV-HDZ-HDS,FALSE
HRV,parliament,HDZ-HGS,Hrvatska demokratska zajednica,Croatian Democratic Union,1431,2011,HRV-HDZ-HGS,FALSE
HRV,parliament,HDZ-HSLS,Hrvatska demokratska zajednica,Croatian Democratic Union,1431,"2016, 2020",HRV-HDZ-HSLS,FALSE
HRV,parliament,HSLS,Hrvatska socijalno liberalna stranka,Croatian Social Liberal Party,214,2011,HRV-HSLS,FALSE
HRV,parliament,HSP,Hrvatska stranka prava,Croatian Party of Rights,253,2011,HRV-HSP,FALSE
HRV,parliament,HSS,Hrvatska seljacka stranka,Croatian Peasant Party,72,2011,HRV-HSS,FALSE
HRV,parliament,INDEPENDENT,independent,independent,2650,2011,HRV-INDEPENDENT,FALSE
HRV,parliament,KUKURIKU,Kukuriku koalicija,Kukuriku Coalition,2522,"2015, 2011, 2016,
2020",HRV-KUKURIKU,FALSE
HRV,parliament,LABOUR AND SOLIDARITY,Milan Bandic 365 - Stranka rada i solidarnosti,Milan Bandic 365 -- The Party of Labour and Solidarity,5452,2015,HRV-LABOUR AND SOLIDARITY,FALSE
HRV,parliament,LABURISTI,Hrvatski laburisti - Stranka rada,Croatian Labourists – Labour Party,3143,2011,HRV-LABURISTI,FALSE
HRV,parliament,MOST,Most nezavisnih lista,Bridge of Independent Lists,4865,"2015, 2016, 2020",HRV-MOST,FALSE
HRV,parliament,ORAH,Odrzivi razvoj Hrvatske,Sustainable Development of Croatia,3201,2015,HRV-ORAH,FALSE
HRV,parliament,PATRIOTIC,Domoljubna koalicija,Patriotic Coalition,3918,2015,HRV-PATRIOTIC,FALSE
HRV,parliament,THE ONLY OPTION,The Only Option Coalition,The Only Option Coalition,3918,2016,HRV-THE ONLY OPTION,FALSE
