national_party,abbrev,member_state,code,party_family,country_name,year_first,year_last,share_year,share
Partido do Centro Democrático e Social / Partido do Centro Democrático e Social-Partido Popular,CDS / CDS-PP,P,2101,Con,Portugal,1984,1999,1994,15.2
Coligação Democrática Unitária / Partido Communista Português,CDU / CDU-PCP / PCP,P,2102,Left,Portugal,1984,1999,1989,20.7
Os Verdes,Os Verdes,P,2103,Grn,Portugal,1989,1989,1989,3.4
Partido Renovador Democratico,PRD,P,2104,Con,Portugal,1984,1984,1984,10.8
Partido Socialista,PS,P,2105,Soc,Portugal,1984,1999,1999,44.8
Partido Social Democrata,PSD,P,2106,CDem,Portugal,1984,1999,1984,40.5
Fianna Fáil,FF,R,2201,Con,Ireland,1979,1999,1984,52.9
Fine Gael,FG,R,2202,CDem,Ireland,1979,1999,1984,41.2
Green Party,GP,R,2203,Grn,Ireland,1994,1999,1994,13.3
Independent-CDem (Dana),IND-Cdem,R,2204,CDem,Ireland,1999,1999,1999,6.2
Independent-Lib (Maher/Cox),IND-Lib,R,2205,Lib,Ireland,1979,1999,1994,6.7
Labour Party,LAB,R,2206,Soc,Ireland,1979,1999,1979,50
Workers' Party / Democratic Left,WP / DL,R,2207,Left,Ireland,1989,1989,1989,11.8
Independent-Reg (Blaney),IND-Reg,R,2208,Reg,Ireland,1979,1989,1989,5.9
Progressive Democrats,PD,R,2209,Lib,Ireland,1989,1989,1989,5.9
Centerpartiet,CP,S,2301,Lib,Sweden,1994,1999,1994,8.8
Folkpartiet liberalaerna,FP,S,2302,Lib,Sweden,1994,1999,1999,11.5
Kristdemokraterna,KD / KDS,S,2303,CDem,Sweden,1994,1999,1999,7.7
Moderata samlingspartiet,M,S,2304,Con,Sweden,1994,1999,1999,26.9
Miljöpartiet,MP,S,2305,Grn,Sweden,1994,1999,1994,11.8
Socialdemokratiska arbetarepartiet,SAP,S,2306,Soc,Sweden,1994,1999,1994,41.2
Vänsterpartiet,V,S,2307,Left,Sweden,1994,1999,1994,11.8
Conservative and Unionist Party,CON,U,2401,Con,United Kingdom,1979,1999,1979,74.1
Democratic Unionist Party,DUP,U,2402,Reg,United Kingdom,1979,1999,1979,1.2
Green Party,GP,U,2403,Grn,United Kingdom,1999,1999,1999,2.2
Labour Party,LAB,U,2404,Soc,United Kingdom,1979,1999,1994,70.3
Liberal Democrat Party,LD,U,2405,Lib,United Kingdom,1994,1999,1999,12.2
Plaid Cymru - Party of Wales,PC,U,2406,Reg,United Kingdom,1999,1999,1999,2.2
Social Democratic and Labour Party,SDLP,U,2407,Soc,United Kingdom,1979,1999,1979,1.2
Scottish National Party,SNP,U,2408,Reg,United Kingdom,1979,1999,1994,3.3
United Kingdom Independence Party,UKIP,U,2409,Anti-EU,United Kingdom,1999,1999,1999,4.4
Official Unionist Party / Ulster Unionist Party,UUP,U,2410,Con,United Kingdom,1979,1999,1979,1.2
