country,party_id,party_abbreviation,party_name,party_name_english,country_short,partyfacts_id
Bulgaria,404,DPS,Движение за права и свободи / Dvizhenie za prava i svobodi,Movement for Rights and Freedoms,BGR,982
Bulgaria,405,Volya,Воля / Volya,Will,BGR,5863
Bulgaria,406,RB,Реформаторски блок / Reformatorski blok,Reformist Bloc,BGR,3189
Bulgaria,407,BBZ,Презареди България / Prezaredi Balgariya,Reload Bulgaria/ Bulgaria Without Censorship,BGR,3188
Bulgaria,408,VMRO,Българско Национално Движение / Bulgarsko Natsionalno Dvizhenie,Bulgarian National Movement,BGR,2056
Bulgaria,409,Ataka,Атака / Ataka,Attack,BGR,1793
Bulgaria,410,ABV,Алтернатива за българско възраждане / Alternativa za balgarsko vazrazhdane,Alternative for Bulgarian Revival,BGR,3187
Croatia,501,HDZ,Hrvatska demokratska zajednica,Croatian Democratic Union,HRV,1431
Croatia,502,HSLS,Hrvatska socijalno-liberalna stranka,Croatian Social Liberal Party,HRV,214
Croatia,503,SDP,Socijaldemokratska partija Hrvatske,Social Democratic Party of Croatia,HRV,1475
Croatia,504,HNS,Hrvatska narodna stranka - liberalni demokrati,Croatian  People's  Party  –  Liberal Democrats,HRV,799
Croatia,505,HSU,Hrvatska stranka umirovljenika,Croatian Party of Pensioners,HRV,2062
Croatia,506,HSS,Hrvatska seljačka stranka,Croatian Peasant Party,HRV,72
Croatia,507,P,Pametno,Intelligently,HRV,
Croatia,508,ŽZ,Živi zid,Human Shield,HRV,4867
Croatia,509,BM 365,M 365 - Stranka rada i solidarnosti,Milan Bandic 365 -- The Party of Labour and Solidarity,HRV,5452
Croatia,510,IDS,Istarski demokratski sabor,Istrian Democratic Assembly,HRV,513
Croatia,511,Most,Most nezavisnih lista,Bridge of Independent Lists,HRV,4865
Croatia,512,HDSSB,Hrvatski demokratski savez Slavonije i Baranje,Croatian   Democratic   Alliance   of Slavonia and Baranja,HRV,2347
Croatia,513,NHR,Bruna Esih - Zlatko Hasanbegović: Neovisni za Hrvatsku,Bruna  Esih  -  Zlatko  Hasanbegović: Independent for Croatia,HRV,
Croatia,514,GLAS,GLAS - Građansko-liberalni savez,GLAS - Civic Liberal Alliance,HRV,
Cyprus,601,DISY,Δημοκρατικός Συναγερμός,Democratic Rally,CYP,563
Cyprus,602,AKEL,Ανορθωτικό Κόμμα Εργαζόμενου Λαού,Progressive Party of Working People,CYP,1076
Cyprus,603,DIKO,Δημοκρατικό Κόμμα,Democratic Party,CYP,635
Cyprus,604,EDEK,Κινήμα Σοσιαλδημοκρατών,Movement for Social Democracy,CYP,1028
Cyprus,605,SYPOL,Κινήμα Σοσιαλδημοκρατών,Citizen's Alliance,CYP,3117
Cyprus,606,KA,Κίνημα Αλληλεγγύη,Solidarity Movement,CYP,4883
Cyprus,607,KOP,Κίνημα Οικολόγων - Συνεργασία Πολιτών,Ecological     and     Environmental Movement,CYP,858
Cyprus,608,ELAM,Εθνικό Λαϊκό Μέτωπο,National Popular Front,CYP,1013
Czech Republic,701,ČSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,CZE,177
Czech Republic,702,ANO,ANO 2011,YES 2011,CZE,2141
Czech Republic,703,KSČM,Komunistická strana Čech a Moravy,Communist  Party  of  Bohemia  and Moravia,CZE,1728
Czech Republic,704,TOP 09,TOP 09,TOP 09,CZE,223
Czech Republic,705,KDU-ČSL,Křesťanská   a   demokratická   unie   – Československá strana lidová,Christian and Democratic Union - Czechoslovak People's Party,CZE,676
Czech Republic,706,SPD,Svoboda  a  přímá  demokracie    –  Tomio Okamura,Freedom and Direct Democracy – Tomio Okamura,CZE,6125
Czech Republic,707,STAN,Starostové a nezávislí,Mayors and Independents,CZE,1707
Czech Republic,708,Piráti,Česká pirátská strana,Czech Pirate Party,CZE,2047
Czech Republic,709,SZ,Strana zelených,Green Party,CZE,1554
Czech Republic,710,ODS,Občanská demokratická strana,Civic Democratic Party,CZE,466
Czech Republic,711,SPO,Strana Práv Občanů,Party of Civic Rights,CZE,1272
Czech Republic,712,Svobodni,Strana svobodných občanů,Party of Free Citizens,CZE,254
Denmark,801,SD,Socialdemokraterne,Social Democrats,DNK,379
Denmark,802,DF,Dansk Folkeparti,Danish People's Party,DNK,1022
Denmark,803,V,"Venstre, Danmarks liberale parti",Venstre - Liberal Party of Denmark,DNK,1204
Denmark,804,EL,Enhedslisten,Red-Green Alliance,DNK,1527
Denmark,805,LA,Liberal Alliance,Liberal Alliance,DNK,212
Denmark,806,A,Alternativet,The Alternative,DNK,4070
Denmark,807,RV,Det Radikale Venstre,Danish Social Liberal Party,DNK,1507
Denmark,808,SF,Socialistisk Folkeparti,Socialist Peoples Party,DNK,329
Denmark,809,KF,Det Konservative Folkeparti,Conservative People's Party,DNK,536
Denmark,810,D,Nye Borgerlige,The New Right,DNK,
Estonia,901,Ref,Eesti Reformierakond,Estonian Reform Party,EST,821
Estonia,902,K,Eesti Keskerakond,Estonian Centre Party,EST,533
Estonia,903,SDE,Sotsiaaldemokraatlik Erakond,Social Democratic Party,EST,1150
Estonia,904,IRL,Isamaa ja Res Publica Liit,Union of Pro Patria and Res Publica,EST,685
Estonia,905,EVA,Eesti Vabaerakond,Free Party,EST,3271
Estonia,906,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative People’s Party,EST,110
Estonia,907,EER,Erakond Eestimaa Rohelised,Estonian Greens,EST,1040
Finland,1001,KESK,Keskusta Centern,Finnish Centre,FIN,901
Finland,1002,PS,Perussuomalaiset / Sannfinländarna,Finns Party,FIN,1689
Finland,1003,KOK,Kansallinen kokoomus / Samlingspartiet,National Coalition Party,FIN,495
Finland,1004,SDP,Sosialidemokraattinen       puolue       / Socialdemokratiska parti,Social Democratic Party of Finland,FIN,1303
Finland,1005,VIHR,Vihreä liitto / Gröna förbundet,Green League,FIN,479
Finland,1006,VAS,Vasemmistoliitto / Vänsterförbundet,Left Alliance,FIN,1096
Finland,1007,KD,Kristillisdemokraatit / Kristdemokraterna,Christian Democrats,FIN,703
Finland,1008,SFP-RKP,Svenska    folkpartiet    /    Ruotsalainen kansanpuolue,Swedish People's Party,FIN,1229
Finland,1009,SIN,Sininen tulevaisuus / Blå framtid,Blue Reform,FIN,5859
France,1101,PS,Parti socialiste,Socialist Party,FRA,1478
France,1102,EELV,Europe Écologie Les Verts,Greens,FRA,1108
France,1103,PCF,Parti communiste français,French Communist Party,FRA,1251
France,1104,Rad,Mouvement radical,Radical  Movement  (Radical  Party  & Radical Party of the Left),FRA,14
France,1105,MoDem,Mouvement démocrate,Democratic Movement,FRA,213
France,1106,FN,Front National / Rassemblement National,National Front / National Rally,FRA,433
France,1107,LaREM,La République En Marche!,The Republic Onwards!,FRA,5857
France,1108,LR,Les Républicains,The Republicans,FRA,1595
France,1109,UDI,Union des démocrates et indépendants,Union of Democrats and Independents,FRA,3229
France,1110,LFI,La France insoumise,Unbowed France,FRA,5858
France,1111,DLF,Debout la France,France Arise,FRA,3207
France,1112,NPA,Nouveau Parti anticapitaliste,New Anti-Capitalist Party,FRA,
France,1113,LP,Les Patriotes,The Patriots,FRA,
Germany,1201,CDU,Christlich Demokratische Union Deutschlands,Christian Democratic Union,DEU,1375
Germany,1202,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,DEU,383
Germany,1203,CSU,Christlich-Soziale Union in Bayern,Christian Social Union,DEU,1731
Germany,1204,Linke,Die Linke,The Left,DEU,86
Germany,1205,AfD,Alternative für Deutschland,Alternative for Germany,DEU,1976
Germany,1206,B90/Grüne,Bündnis 90/Die Grünen,Alliance 90/Greens,DEU,1816
Germany,1207,FDP,Freie Demokratische Partei,Free Democratic Party,DEU,573
Greece,1301,SYRIZA,Συνασπισμός Ριζοσπαστικής Αριστεράς,Coalition of the Radical Left,GRC,516
Greece,1302,ND,Νέα Δημοκρατία,New Democracy,GRC,794
Greece,1303,XA,Λαϊκός Σύνδεσμος,Golden Dawn,GRC,1660
Greece,1304,PASOK,Πανελλήνιο Σοσιαλιστικό Κίνημα,Panhellenic Socialist Movement,GRC,1468
Greece,1305,KKE,Κομμουνιστικό Κόμμα Ελλάδας,Communist Party of Greece,GRC,48
Greece,1306,Potami,Το Ποτάμι,The River,GRC,3118
Greece,1307,ANEL,Ανεξάρτητοι Έλληνες,Independent Greeks,GRC,1651
Greece,1308,EK,Ένωση Κεντρώων,Union of Centrists,GRC,2510
Greece,1309,LAE,Λαϊκή Ενότητα,Popular Unity,GRC,4512
Greece,1310,KA,Κίνημα Αλλαγής,Movement for Change,GRC,
Hungary,1401,Fidesz,Fidesz - Magyar Polgári Szövetség,Fidesz - Hungarian Civic Party,HUN,
Hungary,1402,MSZP,Magyar Szocialista Párt,Hungarian Socialist Party,HUN,1408
Hungary,1403,Jobbik,Jobbik Magyarországért Mozgalom,Jobbik Movement for a Better Hungary,HUN,42
Hungary,1404,LMP,Lehet Más a Politika,Politics Can Be Different,HUN,1650
Hungary,1405,DK,Demokratikus Koalíció,Democratic Coalition,HUN,469
Hungary,1406,Egyutt,Együtt - A Korszakváltók Pártja,Together - Party for a New Era,HUN,
Hungary,1407,Párbeszéd,Párbeszéd,Dialogue,HUN,3115
Ireland,1501,FG,Fine Gael,Fine Gael,IRL,1288
Ireland,1502,FF,Fianna Fáil,Fianna Fáil,IRL,1055
Ireland,1503,SF,Sinn Fein,Sinn Fein,IRL,4
Ireland,1504,Lab,Labour Party,Labour Party,IRL,562
Ireland,1505,IA,Independent Alliance,Independent Alliance,IRL,
Ireland,1506,SP,Socialist Party,Socialist Party,IRL,1448
Ireland,1507,I4C,Independents 4 Change,Independents 4 Change,IRL,
Ireland,1508,SD,Social Democrats,Social Democrats,IRL,4870
Ireland,1509,GP,Green Party,Green Party,IRL,1775
Ireland,1510,S-PBP,Solidarity–People Before Profit,Solidarity–People Before Profit,IRL,242
Italy,1601,PD,Partito Democratico,Democratic Party,ITA,802
Italy,1602,M5S,Movimento Cinque Stelle,Five Star Movement,ITA,
Italy,1603,FI,Forza Italia,Forza Italy,ITA,1626
Italy,1604,LN,Lega (Nord),(Northern League),ITA,1221
Italy,1605,FdI-CN,Fratelli d'Italia,Brothers of Italy,ITA,2280
Italy,1606,MDP,Articolo  1  –  Movimento  Democratico  e Progressista,Article 1 – Democratic and Progressive Movement,ITA,
Italy,1607,SI,Sinistra Italiana,Italian Left,ITA,1212
Lithuania,1701,LVLS,Lietuvos valstiečių ir žaliųjų sąjunga,Lithuanian Peasant and Greens Union,LTU,1490
Lithuania,1702,TS-LKD,Tėvynės  sąjunga  -  Lietuvos  krikščionys demokratai,Homeland Union - Lithuanian Christian Democrats,LTU,193
Lithuania,1703,LSDP,Lietuvos socialdemokratų partija,Lithuanian Social Democratic Party,LTU,64
Lithuania,1704,LRLS,Lietuvos Respublikos Liberalų sąjūdis,Liberals Movement of the Republic of Lithuania,LTU,1744
Lithuania,1705,LLRA,Lietuvos lenkų rinkimų akcija / Akcja Wyborcza Polaków na Litwie,Election Action of Lithuania's Poles,LTU,556
Lithuania,1706,TT,Tvarka ir teisingumas,Order and Justice,LTU,237
Lithuania,1707,DP,Darbo partija,Labour Party,LTU,102
Lithuania,1708,LCP,Lietuvos centro partija,Lithuanian Centre Party,LTU,5455
Malta,1801,PL,Partit Laburista,Malta Labour Party,MLT,808
Malta,1802,PN,Partit Nazzjonalista,Nationalist Party,MLT,699
The Netherlands,1901,VVD,Volkspartij voor Vrijheid en Democratie,People's  Party  for  Freedom  and Democracy,NLD,828
The Netherlands,1902,PVV,Partij voor de Vrijheid,Party for Freedom,NLD,298
The Netherlands,1903,CDA,Christen-Democratisch Appèl,Christian Democratic Appeal,NLD,1157
The Netherlands,1904,D66,Democraten66,Democrats66,NLD,45
The Netherlands,1905,GL,GroenLinks,GreenLeft,NLD,1537
The Netherlands,1906,SP,Socialistische Partij,Socialist Party,NLD,1363
The Netherlands,1907,PvdA,Partij van de Arbeid,Labour Party,NLD,1234
The Netherlands,1908,CU,ChristenUnie,Christian Union,NLD,1459
The Netherlands,1909,PvdD,Partij voor de Dieren,Party for the Animals,NLD,1467
The Netherlands,1910,50PLUS,50PLUS,50PLUS,NLD,714
The Netherlands,1911,SGP,Staatkundig Gereformeerde Partij,State-Reformed Party,NLD,1178
The Netherlands,1912,DENK,DENK,DENK,NLD,5856
The Netherlands,1913,FvD,Forum voor Democratie,Forum for Democracy,NLD,5855
Norway,2001,Ap,Arbeiderpartiet,Norwegian Labour Party,NOR,448
Norway,2002,H,Høyre,Conservative Party,NOR,503
Norway,2003,FrP,Fremskrittspartiet,Progress Party,NOR,101
Norway,2004,Sp,Senterpartiet,Centre Party,NOR,1072
Norway,2005,KrF,Kristelig Folkeparti,Christian Democratic Party,NOR,705
Norway,2006,V,Venstre,Liberal Party of Norway,NOR,1173
Norway,2007,SV,Sosialistisk Venstreparti,Socialist Left Party,NOR,719
Norway,2008,MDG,Miljøpartiet de Grønne,Green Party,NOR,1963
Norway,2009,R,Rødt,Red,NOR,44
Poland,2101,PiS,Prawo i Sprawiedliwość,Law and Justice,POL,1565
Poland,2102,PO,Platforma Obywatelska,Civic Platform,POL,1117
Poland,2103,K’15,Kukiz'15,Kukiz'15,POL,4631
Poland,2104,N,Nowoczesna,Modern,POL,4630
Poland,2105,PSL,Polskie Stronnictwo Ludowe,Polish People's Party,POL,602
