party_name,country_name,party_name_english,party_name_short,partyfacts_id,country_short,party_id
Socialisticna stranka Slovenije,Slovenia,Socialist Party of Slovenia,SSS,1037,SVN,svn-sss
Združena levica,Slovenia,United Left / The Left,ZdLe / L,1403,SVN,svn-zdl
Bloque Nacionalista Galego,Spain,Galician Nationalist Bloc,BNG,1011,ESP,esp-bng
Chunta Aragonesista,Spain,Aragonese Council,CA,,ESP,esp-ca
Compromís | A la valenciana,Spain,Compromise | A la valenciana,C|AV,4019,ESP,esp-cav
En Comú Podem,Spain,In Common We Can,ECP,4019,ESP,esp-ecp
En Marea,Spain,In Tide,EM,5873,ESP,esp-em
Euskal Herria Bildu,Spain,Basque Country Unite,EHB,5668,ESP,esp-ehb
Grupo Común da Esquerda,Spain,Common Group of the Left,GCdE,,ESP,esp-gcd
Herri Batasuna,Spain,United People,HB,473,ESP,esp-hb
Partido Communista | Izquierda Unida,Spain,United Left,IU,247,ESP,esp-iu
Podemos,Spain,Podemos,Podemos,3203,ESP,esp-pod
Vox,Spain,Voice,Vox,3218,ESP,esp-vox
Ny Demokrati,Sweden,New Democracy,NyD,343,SWE,swe-nyd
Sverigedemokraterna,Sweden,Sweden Democrats,SD,409,SWE,swe-sd
Vänsterpartiet (kommunisterna),Sweden,Left Party,V,830,SWE,swe-v
Auto-Partei | Freiheitspartei der Schweiz,Switzerland,Automobile Party | Freedom Party of Switzerland,FPS,1311,CHE,che-fps
Eidgenössisch-Demokratische Union – Union Démocratique Fédérale,Switzerland,Federal Democratic Union of Switzerland,EDU-UDF,631,CHE,che-edu
Lega dei Ticinesi,Switzerland,Ticino League,LdT,1661,CHE,che-ldt
Mouvement Citoyens Genevois,Switzerland,Geneva Citizens' Movement,MCR,,CHE,che-mcr
Nationale Aktion – Action Nationale | Schweizer Demokraten – Démocrates Suisses,Switzerland,National Action -- Swiss Democrats,NA|SD,1819,CHE,che-nas
Partei der Arbeit der Schweiz,Switzerland,Swiss Party of Labour,PdA,669,CHE,che-pda
Partito socialista autonomo,Switzerland,Autonomous Socialist Party,PSA,31,CHE,che-psa
Schweizerische Volkspartei – Union Démocratique du Centre,Switzerland,Swiss People's Party,SVP,308,CHE,che-svp
solidaritéS,Switzerland,Solidarity,S,2939,CHE,che-s
Conservatives,United Kingdom,Conservatives,Con,1567,GBR,gbr-con
Democratic Unionist Party,United Kingdom,Democratic Unionist Party,DUP,335,GBR,gbr-dup
Respect – The Unity Coalition,United Kingdom,Respect -- The Unity Coalition,R,,GBR,gbr-r
Sinn Féin,United Kingdom,Sinn Fein,SF,963,GBR,gbr-sf
United Kingdom Independence Party,United Kingdom,United Kingdom Independence Party,UKIP,601,GBR,gbr-uki
