countrycode,party_abbr,party_id,year_first,year_last,seat_share,year
CZE,ODS,200015,1992,2021,40.5,2006
BEL,PSB-BSP,20003,1946,1977,40.4,1954
LTU,LPS,240017,1992,2020,40.4,2016
HRV,SDP,300007,1990,2020,39.7,2011
CZE,ANO 2011,200010,2013,2021,39,2017
SVK,OĽaNO,280013,2012,2020,38.1,2020
LUX,LSAP,110002,1945,2018,37.5,1964
FRA,CD & CR,50008,1958,2022,37.3,1993
CZE,ČSSD,200002,1992,2017,37,1998
ROU,PDL,270015,1992,2012,36.9,2008
EST,ER,210022,1992,2023,36.6,2023
ISL,PP,80012,1942,2021,36.5,1959
ITA,PCI-PDS-DS,100003,1946,2001,36.2,1976
SVN,SDS,290015,1990,2022,36.1,2018
NLD,CDA,120013,1977,2021,36,1986
LVA,LC,230027,1993,2002,36,1993
NLD,PvdA,120007,1946,2021,35.3,1977
ITA,M5S,100031,2013,2022,35.2,2018
SVN,PS,290010,2011,2011,34.6,2011
NOR,H,130008,1945,2021,34.2,1981
LTU,LSDP,240008,1992,2020,34,2000
DNK,V,30013,1945,2022,33.3,1947
NLD,KVP,120012,1946,1972,33.3,1963
LVA,V,230019,2010,2018,33,2010
SVN,SD,290004,1992,2022,32.2,2008
ISL,SDA,80008,1999,2021,31.7,2003
ROU,PNL,270019,1990,2020,31.6,2012
FIN,SDP,40003,1945,2023,31.5,1995
LVA,SC,230007,2002,2018,31,2011
SWE,M,160007,1944,2022,30.7,2010
ITA,FdI,100034,2013,2022,29.8,2022
EST,IL,210015,1992,2003,29.7,1992
EST,EK,210005,1992,2023,28.7,2007
POL,PSL,260006,1991,2019,28.7,1993
AUT,FPÖ,10006,1949,2019,28.4,1999
NLD,VVD,120022,1946,2021,28.1,2012
FIN,KESK,40005,1945,2023,28,1948
SVK,SDK,280015,1998,1998,28,1998
BGR,PP,180027,2021,2023,27.9,2021
SVN,SKD,290012,1990,1996,27.8,1992
EST,ResP,210017,2003,2003,27.7,2003
LTU,DP,240010,2004,2020,27.7,2004
SVK,SDKU- DS,280016,2002,2012,27.2,2006
BGR,ITN,180023,2021,2023,27.1,2021
LVA,JL,230024,2002,2006,27,2002
LTU,LiCS,240015,2000,2020,27,2000
BEL,CDV,20011,1968,2019,26.6,1978
FIN,KOK,40011,1945,2023,26.5,1987
IRL,SF,90011,1957,2020,26.2,2020
LVA,A/P,230037,2018,2022,26,2022
SWE,C,160005,1944,2022,25.7,1973
LUX,DP,110003,1945,2018,25.4,1979
SWE,L,160004,1944,2022,25.2,1952
FIN,SKDL,40001,1945,2023,25,1958
LVA,PCTVL,230002,2002,2011,25,2002
HUN,SzDSz,220013,1990,2018,24.4,1990
NOR,FRP,130009,1973,2021,24.3,2009
ROU,PRM,270003,1992,2012,24.3,2000
LVA,TP,230032,1998,2006,24,1998
ROU,PNTCD,270016,1990,2012,24,1996
DNK,KF,30012,1945,2022,23.5,1984
SVN,SLS,290009,1990,2011,23.5,1996
ISL,PA,80003,1956,1995,23.3,1978
ISL,SDP,80010,1942,1995,23.3,1978
FIN,SMP,40007,1966,2023,23,2023
LVA,DPS,230012,1995,1998,23,1995
EST,IRL,210019,2007,2023,22.8,2011
BEL,LP-PL,20015,1946,1968,22.6,1965
HRV,SKH-SDP,300001,1990,1990,22.5,1990
IRL,Lab,90004,1944,2020,22.3,2011
ISL,LG,80002,1999,2021,22.2,2009
SVN,SNS,290007,1992,2018,22.2,1992
LVA,ZZS,230014,2002,2022,22,2010
BEL,N-VA,20014,2003,2019,21.7,2014
GRC,Others/Indep.,70099,1989,2015,21,2009
SWE,SD,160009,2010,2022,20.9,2022
DNK,DFP,30016,1998,2022,20.7,2015
ITA,PSI,100009,1946,1994,20.7,1946
CZE,KSČM,200001,1992,2017,20.5,2002
CZE,TOP 09,200016,2010,2021,20.5,2010
FRA,CL,50009,1958,2022,20.2,1958
LTU,NS-SL,240005,2000,2008,19.9,2000
ITA,LN,100018,1992,2022,19.7,2018
NOR,SP,130006,1945,2021,19.4,1993
SVK,SDL,280003,1992,1998,19.3,1992
ISL,SP,80001,1942,1953,19.2,1942
ESP,P's,150003,2015,2019,19.1,2016
PRT,CDS-PP,140012,1976,2022,19,1980
EST,EKRE,210024,2015,2023,19,2019
PRT,PCP,140004,1976,2022,18.8,1979
EST,EKo,210018,1992,1999,18.8,1995
EST,SDE,210007,1992,2023,18.8,2011
BEL,PS,20005,1978,2019,18.7,1987
ROU,USR PLUS,270026,2016,2020,18.5,2020
SVN,LMŠ,290021,2018,2018,18.1,2018
PRT,PRD,140008,1985,1987,18,1985
SVK,DUS,280010,1992,1994,18,1992
FRA,RN,50012,1973,2022,17.7,2022
FRA,C,50001,1958,2022,17.6,1978
NLD,LPF,120025,2002,2003,17.6,2002
SVN,SDP,290002,1990,1990,17.5,1990
ITA,AN,100022,1994,2006,17.3,1994
ROU,Others/Indep.,270099,1990,2020,17.2,1996
LVA,TB-LNNK,230018,1995,2006,17,1995
LVA,VL+TB-LNNK,230017,2010,2022,17,2014
NLD,SP,120001,1994,2021,16.9,2006
BEL,VLD,20016,1971,2019,16.6,2003
CZE,CPS,200017,2017,2021,16.5,2021
LTU,Others/Indep.,240099,1992,2020,16.3,2000
NLD,PVV,120026,2006,2021,16.2,2010
DEU,GR,60003,1983,2021,16.1,2021
POL,UD,260017,1991,1993,16.1,1993
NLD,D66,120010,1967,2021,16,1994
LVA,TKL-ZP,230008,1995,1998,16,1995
LVA,TSP,230005,1993,2002,16,1998
LVA,ZRP,230020,2011,2011,16,2011
LVA,JKP,230036,2018,2018,16,2018
LVA,KPV,230038,2018,2018,16,2018
BEL,MR,20017,1971,2019,15.9,2003
ISL,P,80018,2013,2021,15.9,2016
HRV,HSLS,300012,1992,2020,15.9,2000
