"id","country_short","country","party_short","party_english","party_name","name","year_first","year_last","comment","ess_round_1","ess_round_2","ess_round_3","ess_round_4","ess_round_5","ess_round_6"
1676,"CHE","Switzerland","","Mixed vote","","mixed vote",2008,2012,"","","","","Mixed vote","Mixed vote","Mixed vote"
1063,"CHE","Switzerland","","Movement of the Citizens belonging to French-speaking Switzerland","","movement of the citizens belonging to french speaking switzerland",2012,2012,"","","","","","","Movement of the Citizens belonging to French-speaking Switzerland"
1581,"CHE","Switzerland","","Others","","other party",2002,2012,"","Others","Others","Others","Other party","Other party","Other party"
1879,"CHE","Switzerland","","Pirate Party Switzerland","","pirate party switzerland",2012,2012,"","","","","","","Pirate Party Switzerland"
1889,"CHE","Switzerland","FDP","Radical Liberals","","radical liberals",2010,2012,"","","","","","FDP. The Liberals","Radical Liberals"
1395,"CHE","Switzerland","","Radicals","","radicals",2002,2010,"","Radicals","Radicals","Radicals","Radicals","Radicals",""
1773,"CHE","Switzerland","","Socialist Party","","socialist party",2002,2012,"","Social-democrats","Social-democrats","Social-democrats","Socialist party","Socialist Party","Socialist Party"
1250,"CHE","Switzerland","","Swiss Democrats","","swiss democrats",2002,2012,"","Swiss Democrats","Swiss Democrats","Swiss Democrats","Swiss democrats","Swiss Democrats","Swiss Democrats"
1851,"CHE","Switzerland","","Swiss Labour Party","","swiss labour party",2002,2012,"","Swiss Labour Party","Swiss Labour Party","Swiss Labour Party","Swiss labor party","Swiss Labour Party","Swiss Labour Party"
1114,"CHE","Switzerland","","Swiss Nationalist Party","","swiss nationalist party",2012,2012,"","","","","","","Swiss Nationalist Party"
1228,"CHE","Switzerland","","Swiss People's Party","","swiss people s party",2002,2012,"","Swiss People's Party","Swiss People's Party","Swiss People's Party","Swiss people party","Swiss People’s Party","Swiss People's Party"
1144,"CHE","Switzerland","","Ticino League","Lega dei Ticinesi","ticino league",2002,2012,"","Lega dei Ticinesi","Lega dei Ticinesi","Lega dei Ticinesi","Lega dei Ticinese","Ticino League","Ticino League"
1336,"CHE","Switzerland","","Women's Parties","","women s parties",2002,2006,"","Women's Parties","Women's Parties","Women's Parties","","",""
1258,"CYP","Cyprus","DIKO","Democratic Party","","democratic party diko",2006,2012,"","","","Demokrat Party (DHKO)","Demokrat Party (DIKO)","Democratic Party (DIKO)","Democratic Party (DIKO)"
1894,"CYP","Cyprus","DHSY/DISY","Democratic Rally","","democratic rally disy",2006,2012,"","","","Democratic Rally (DHSY)","Democratic Rally (DISY)","Democratic Rally (DISY)","Democratic Rally (DISY)"
1713,"CYP","Cyprus","EYROKO/EVROKO","European Party","","european party evroko",2006,2012,"","","","European Party (EYROKO)","European Party (EVROKO)","European Party (EVROKO)","European Party (EVROKO)"
1662,"CYP","Cyprus","","Other","","other",2006,2012,"","","","Other","Other","Other","Other"
1405,"CYP","Cyprus","AKEL","Progressive Party of Working People","","progressive party of working people akel",2006,2012,"","","","Progressive Party of Working People (AKEL)","Progressive Party of Working People (AKEL)","Progressive Party of Working People (AKEL)","Progressive Party of Working People (AKEL)"
