cntry,party_id,duplicate,ignore,party_short,party_english,party_name,share,party_id_old,ess_key,party
DK,DK-6-6,,,,,Kristendemokraterne - Christian democrats,1.1,3013,dk -- kristendemokraterne - christian democrats,Kristendemokraterne - Christian democrats
DK,DK-4-6,DK-2-7,,,Christian democtrats,Kristeligt Folkeparti/Kristendemokraterne,1,1359,dk -- kristendemokraterne - christian democtrats,Kristendemokraterne - Christian democtrats
DK,DK-7-8,,,,New alliance / Liberal Alliance,,4.1,1145,dk -- liberal alliance - liberal alliance,Liberal Alliance - Liberal Alliance
DK,DK-4-8,DK-7-8,,,New alliance / Liberal Alliance,,2.7,1145,dk -- ny alliance - new alliance,Ny Alliance - New alliance
DK,DK-6-4,,,SF,Socialist People's Party,Socialistisk Folkeparti,10.6,1257,dk -- sf socialistisk folkeparti - socialist people's party,SF Socialistisk Folkeparti - Socialist People's Party
DK,DK-5-4,DK-6-4,,SF,Socialist People's Party,Socialistisk Folkeparti,15.5,1257,dk -- sf- socialistisk folkeparti - the socialist people's party,SF- Socialistisk Folkeparti - the Socialist People's Party
DK,DK-6-1,,,,,Socialdemokraterne - the Danish social democrats,27.1,3014,dk -- socialdemokraterne - the danish social democrats,Socialdemokraterne - the Danish social democrats
DK,DK-4-1,,,,Danish Social Democtrats,Socialdemokratiet,26.8,1496,dk -- socialdemokraterne - the danish social democtrats,Socialdemokraterne - the Danish social democtrats
DK,DK-1-1,DK-4-1,,,Danish Social Democtrats,Socialdemokratiet,31.7,1496,dk -- socialdemokratiet,Socialdemokratiet
DK,DK-3-5,DK-6-4,,SF,Socialist People's Party,Socialistisk Folkeparti,8.5,1257,dk -- socialistisk folkeparti,Socialistisk Folkeparti
DK,DK-2-8,,,,,Venstre / Danmarks Liberale Parti,35.6,1265,dk -- venstre,Venstre
DK,DK-5-7,DK-2-8,,,,Venstre / Danmarks Liberale Parti,29.8,1265,"dk -- venstre, danmarks liberale parti - venstre","Venstre, Danmarks Liberale Parti - Venstre"
EE,EE-4-11,,,,,campaigner,0.2,1619,ee -- campaigner,campaigner
EE,EE-5-8,,,,,Eesti Iseseisvuspartei,0.2,1393,ee -- eesti iseseisvuspartei,Eesti Iseseisvuspartei
EE,EE-7-2,,,,Estonian Centre Party/The Estonian Centre Party,Eesti Keskerakond,27.6,1036,ee -- eesti keskerakond,Eesti Keskerakond
EE,EE-6-4,,,,Estonian People's Union/The People's Union of Estonia,Eestimaa Rahvaliit/Eesti Konservatiivne Rahvaerakond endine Rahvaliit,1.9,1074,ee -- eesti konservatiivne rahvaerakond (endine rahvaliit),Eesti Konservatiivne Rahvaerakond (endine Rahvaliit)
EE,EE-5-3,,,,Estonian Reform Party,Eesti Reformierakond,32.3,1062,ee -- eesti reformierakond,Eesti Reformierakond
EE,EE-6-10,,,,,Eesti Vabaduspartei – Põllumeeste Kogu,0.2,1464,ee -- eesti vabaduspartei – põllumeeste kogu,Eesti Vabaduspartei – Põllumeeste Kogu
EE,EE-5-4,EE-6-4,,,Estonian People's Union/The People's Union of Estonia,Eestimaa Rahvaliit/Eesti Konservatiivne Rahvaerakond endine Rahvaliit,5.9,1074,ee -- eestimaa rahvaliit,Eestimaa Rahvaliit
