partyfacts_id,country_name,name,name_english,wp_title,wp_url
6226,Madagascar,Fihaonana Party,Fihaonana Party,1993 Malagasy parliamentary election,https://en.wikipedia.org/wiki/1993_Malagasy_parliamentary_election
6598,Madagascar,Parti Militant pour le Développement de Madagascar,Militant Party for the Development of Madagascar,Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
5869,Madagascar,Union nationale pour la démocratie et le développement,National Union for Democracy and Development,Federation of Green Parties of Africa,https://en.wikipedia.org/wiki/Federation_of_Green_Parties_of_Africa
5692,Madagascar,Elan Populaire pour l'Unité Nationale (Vonjy),Popular Impulse for National Unity,,
6086,Madagascar,Rally for Socialism and Democracy,Rally for Socialism and Democracy,Alliance for Democracy and Federation – African Democratic Rally,https://en.wikipedia.org/wiki/Alliance_for_Democracy_and_Federation_%E2%80%93_African_Democratic_Rally
5683,Maldives,Adhaalathu Party,Justice Party,,
416,Malta,Jones Party,Jones Party,List of political parties in Malta,https://en.wikipedia.org/wiki/List_of_political_parties_in_Malta
1910,Malta,Unione Politica Maltese,Maltese Political Union,Maltese Political Union,https://en.wikipedia.org/wiki/Maltese_Political_Union
320,Malta,Progressive Constitutional Party,Progressive Constitutional Party,"Progressive Party (United States, 1912)","https://en.wikipedia.org/wiki/Progressive_Party_(United_States,_1912)"
6723,Mauritania,Socialist and Republican Union,Socialist and Republican Union,Socialist International,https://en.wikipedia.org/wiki/Socialist_International
6456,Mauritius,Mouvement des Travaillistes Democrates,Democratic Labour Movement,Anerood Jugnauth,https://en.wikipedia.org/wiki/Anerood_Jugnauth
5375,Mauritius,Independence Party,Independence Party,Labour Party (Mauritius),https://en.wikipedia.org/wiki/Labour_Party_(Mauritius)
6599,Mauritius,Independent Forward Bloc,Independent Forward Bloc,List of Hindu nationalist political parties,https://en.wikipedia.org/wiki/List_of_Hindu_nationalist_political_parties
6410,Mauritius,Parti Socialiste Mauricien,Mauritian Socialist Party,2014 Mauritian general election,https://en.wikipedia.org/wiki/2014_Mauritian_general_election
5702,Mauritius,Muslim Committee of Action,Muslim Committee of Action,Labour Party (Mauritius),https://en.wikipedia.org/wiki/Labour_Party_(Mauritius)
4043,Mauritius,Mouvement Démocratique National Raj Dayal,National Democratic Movement Raj Dayal,,
1988,Mexico,Alianza por México 2000,Alliance for Mexico 2000,Citizens' Movement (Mexico),https://en.wikipedia.org/wiki/Citizens%27_Movement_(Mexico)
1981,Mexico,Partido Comunista Mexicano,Mexican Communist Party,Mexican Communist Party,https://en.wikipedia.org/wiki/Mexican_Communist_Party
1982,Mexico,Partido Mexicano de los Trabajadores,Mexican Workers’ Party,Mexican Workers' Party,https://en.wikipedia.org/wiki/Mexican_Workers%27_Party
1983,Mexico,Frente Democrático Nacional,National Democratic Front,National Democratic Front (Mexico),https://en.wikipedia.org/wiki/National_Democratic_Front_(Mexico)
1984,Mexico,Partido del Frente Cardenista de Reconstucción Nacional,Party of the Cardenist Front of National Reconstruction,,
1985,Mexico,Partido Popular Socialista,Popular Socialist Party,Popular Socialist Party (Cuba),https://en.wikipedia.org/wiki/Popular_Socialist_Party_(Cuba)
1986,Mexico,Partido Revolucionario de los Trabajadores,Revolutionary Workers’ Party,Institutional Revolutionary Party,https://en.wikipedia.org/wiki/Institutional_Revolutionary_Party
1987,Mexico,Partido Socialista Unificado de México,Unified Socialist Party of Mexico,Unified Socialist Party of Mexico,https://en.wikipedia.org/wiki/Unified_Socialist_Party_of_Mexico
2262,Moldova,Partidul Democrat Agrar din Moldova,Agrarian Democratic Party of Moldova,Agrarian Party of Moldova,https://en.wikipedia.org/wiki/Agrarian_Party_of_Moldova
2263,Moldova,Blocul Taranilior si Intelectualilor,Bloc of Peasants and Intellectuals,,
2266,Moldova,"Blocul Electoral ""Conventia Democrata din Moldova""",Electoral Bloc Democratic Convention of Moldova,,
2267,Moldova,"Blocul electoral ""Moldova Democrata""","Electoral Bloc ""Democratic Moldova""",Electoral Bloc Democratic Moldova,https://en.wikipedia.org/wiki/Electoral_Bloc_Democratic_Moldova
2268,Moldova,"Blocul Electoral ""Pentru o Moldova Democratica si Prospera""","Electoral Bloc ""For a Democratic and Prosperous Moldova""",,
2269,Moldova,"Blocul Electoral ""Alianta Braghis""",Electoral Block 'Braghis Alliance',,
2271,Moldova,Partidul Liberal Democrat din Moldova,Liberal Democratic Party of Moldova,Democratic Party of Moldova,https://en.wikipedia.org/wiki/Democratic_Party_of_Moldova
2261,Moldova,Partidul Fortelor Democratice,Party of Democratic Forces,Party of Democratic Forces,https://en.wikipedia.org/wiki/Party_of_Democratic_Forces
6342,Monaco,National and Progressive Action,National and Progressive Action,Progressive Corporation,https://en.wikipedia.org/wiki/Progressive_Corporation
6204,Mongolia,Mongolyn Ulamjlalyn Negdsen Nam,Mongolian Conservative United Party,,
3103,Montenegro,Stranka Demokratske Akcije Crne Gore,Democratic Action Party of Montenegro,List of political parties in Montenegro,https://en.wikipedia.org/wiki/List_of_political_parties_in_Montenegro
