"country","name_short","name","name_english","year_first","year_last","party_id","partyfacts_id"
"NLD","EVP","Evangelische Volkspartij","Evangelical Peoples Party",1981,1991,"528010",
"NLD","CPN","Communistische Partij Nederland","Communist Party Netherlands",1909,1991,"528011",459
"NLD","PSP","Pacifistische Socialistische Partij","Pacifist Socialist Party",1957,1991,"528012",1050
"NLD","PPR","Politieke Partij Radikalen","Radical Political Party",1968,1991,"528013",1581
"NLD","PvdA","Partij van de Arbeid","Labour Party",1946,,"528014",1234
"NLD","PvdD","Partij voor de Dieren","Animal Party",2002,,"528015",1467
"NLD","SGP","Staatkundig Gereformeerde Partij","Political Reformed Party",1918,,"528016",1178
"NLD","SP","Socialistische Partij","Socialist Party",1971,,"528017",1363
"NLD","VVD","Volkspartij voor Vrijheid en Democratie","Party for Freedom and Democracy",1948,,"528018",828
"NLD","LPF","Lijst Pim Fortuyn","List Pim Fortuyn",2002,2008,"528019",1528
"NLD","50+","50plus","50plus",2009,,"528020",
"BEL","CVV","Christelijke Vlaamse Volksunie","Christian Flemish Union",1954,2001,"56001",1424
"BEL","N-VA","Nieuw-Vlaamse Alliantie","New Flemish Alliance",2001,,"56002",36
"BEL","BSP-PSB","Belgische Socialistische Partij - Parti Socialiste Belge","Socialist Party of Belgium",1944,1978,"56003",480
"BEL","PS","Parti Socialiste","Socialist Party",1978,,"56004",500
"BEL","SP","Socialistische Partij","Socialist Party",1978,,"56005",
"BEL","PSC-CVP","Parti Social Chrétien  Christelijke Volkspartij","Francophone Christian Social Party and Flemish Christian Social Party",1945,1968,"56006",405
"BEL","PSC","Parti Social Chrétien","Francophone Christian Social Party",1968,,"56007",633
"BEL","CVP","Christen-Democratisch en Vlaams","Christian-Democrat and Flemish",1968,,"56008",
"BEL","PLP","Parti pour la Liberté et le Progrès","Party for Liberty and Progress",1971,,"56009",
"BEL","PVV","Partij voor Vrijheid en Vooruitgang","Party of Liberty and Progress",1971,,"56010",49
"BEL","VB","Vlaams Blok","Flemish Block",1979,,"56011",553
"BEL","Ecolo","Écologistes Confédérés pour l'organisation de lutte","Ecologists",1980,,"56012",1563
"BEL","Agalev","Anders Gaan Leven","Live Differently",1981,,"56013",528
"BEL","LDD","LijstDedecker","Dedecker List",2007,,"56014",43
"BEL","PCB-BKP","Kommunistische Partij van België/ Parti communiste de Belgique","Communist Party of Belgium",1921,1989,"56015",302
"BEL","PC","Parti Communiste","Communist Party",1989,,"56016",
"BEL","FDF","Front démocratique des francophones","Democratic Front of the francophones",1964,,"56017",698
"BEL","RWF","Rassemblement Wallonie France","Wallonia-France Union",1999,,"56018",
"BEL","Spirit","Sociaal, Progressief, Internationaal, Regionalistisch, Integraal-democratisch, Toekomstig","Spirit",2001,2009,"56019",
"NOR","RV","Rød Valgallianse","Red Electoral Alliance",1973,,"578001",
"NOR","SF","Sosialistisk Folkeparti","Socialist People's Party",1961,,"578002",
"NOR","DNA","Det norske arbeiderpartiet","Norwegian Labour Party",1887,,"578003",448
"NOR","MDG","Miljøpartiet De Grønne","Environmental Party the Greens",1988,,"578004",
"NOR","SP","Senterpartiet","Centre party",1920,,"578005",1072
"NOR","KrF","Kristelig Folkeparti","Christian People's Party",1933,,"578006",705
"NOR","V","Venstre","The Liberal Party",1884,,"578007",1173
"NOR","Høyre","Høyre","The Conservative Party",1884,,"578008",503
"NOR","FrP","Fremskrittspartiet","The Progress Party",1973,,"578009",101
"POL","SLD","Sojusz Lewicy Demokratycznej","Democratic Left Alliance",1999,,"616001",57
"POL","PSL","Polskie Stronnictwo Ludowe","Polish Peasant's Party",1990,,"616002",602
"POL","PO","Platforma Obywatelska","Civic Platform",2001,,"616003",1117
"POL","PIS","Prawo i Sprawiedliwosc","Law and Justice",2001,,"616004",1565
"POL","RP","Ruch Palikota","PalikotÆs Movement",2011,,"616005",731
"POL","TR","Twój Ruch","Your Movement",2011,,"616006",731
"POL","KLD","Kongres Liberalno-Demokratyczny","Liberal-Democratic Congress",1990,,"616007",153
"POL","UD","Unia Demokratyczna","Democratic Union",1991,1994,"616008",
