"country","party_id","party_abbrev","party_name","party_name_english"
"GE",301,"CDU","Christlich Demokratische Union Deutschlands","Christian Democratic Union of Germany"
"GE",302,"SPD","Sozialdemokratische Partei Deutschlands","Social Democratic Party of Germany"
"GE",303,"FDP","Freie Demokratische Partei","Free Democratic Party"
"GE",304,"Grunen","Bündnis ’90; Die Grünen","Alliance 90; The Greens"
"GE",305,"REP","Republikaner","Republikaner"
"GE",306,"PDS;","Partei des Demokratischen Sozialismus; Die Linkspartei; Die Linke","Party of Democratic Socialism; Left Party; The Left"
"GE",308,"CSU","Christlich Soziale Union in Bayern","Christian Social Union in Bavaria"
"GE",309,"DVU; NPD","Deutsche Volksunion; Nationaldemokratische Partei Deutschlands","German People’s Union; National Democratic Party of Germany"
"GE",310,"AfD","Alternative für Deutschland","Alternative for Germany"
"GE",311,"Piraten","Piratenpartei Deutschland","Pirate Party of Germany"
"GE",312,"DieTier","Mensch Umwelt Tierschutz","Human Environment Animal Protection"
"GR",401,"PASOK","Panellinio Sosialistikó Kínima","Panhellenic Socialist Movement"
"GR",402,"ND","Néa Dimokratía","New Democracy"
"GR",403,"SYN; SYRIZA","Synaspismós tïs Aristerás kai tïs Proódou; Synaspismó’s Rizospastikís Aristerás","Coalition of the Left and Progress; Coalition of the Radical Left"
"GR",404,"KKE","Kommounistikó Kómma Elládas","Communist Party of Greece"
"GR",408,"POLA","Politiki Anixi","Political Spring"
"GR",409,"DIKKI","Dimokratiko Kinoniko Kinima","Democratic Social Movement"
"GR",410,"LAOS","Laïkós Orthódoxos Synagermós","Popular Orthodox Rally"
"GR",411,"OP","Oikologoi Prasinoi","Ecologist Greens"
"GR",412,"ANEL","Anexartitoi Ellines","Independent Greeks"
"GR",413,"Potami","To Potami","The River"
"GR",414,"DIMAR","Dimokratiki Aristera","Democratic Left"
"GR",415,"XA","Laïkós Sýndesmos—Chrysí Avgí","Popular Association—Golden Dawn"
"ESP",501,"PSOE","Partido Socialista Obrero Español","Spanish Socialist Workers’ Party"
"ESP",502,"PP","Partido Popular","People’s Party"
"ESP",504,"IU","Izquierda Unida","United Left"
"ESP",505,"CiU","Convergència i Unió","Convergence and Unity"
"ESP",506,"PNV","Euzko Alderdi Jeltzalea / Partido Nacionalista Vasco","Basque Nationalist Party"
"ESP",507,"EA","Eusko Alkartasuna","Basque Solidarity"
"ESP",508,"EH","Euskal Herritarrok","We Basque Citizens"
"ESP",510,"PAR","Partido Aragonés","Aragonese Party"
"ESP",511,"ERC","Esquerra Republicana de Catalunya","Republican Left of Catalonia"
"ESP",512,"UV","Unión Valenciana","Valencian Union"
"ESP",513,"BNG","Bloque Nacionalista Galego","Galician Nationalist Bloc"
"ESP",514,"VERDE","Los Verdes","The Greens"
"ESP",516,"PA","Partido Andalucista","Andalusian Party"
"ESP",517,"CC","Coalición Canaria","Coalicion Canaria"
