"country","party_id","party_abbrev","party_name","party_name_english"
"CRO",3106,"IDS","Istarski Demokratski Sabor","Istrian Democratic Assembly"
"CRO",3107,"HDSSB","Hrvatski Demokrtski Sabor Slavonije i Baranje","Croatian Democratic Assembly of Slavonija and Baranja"
"CRO",3109,"HSP","Hrvatska Stranka Prava","Croatian Party of Rights"
"CRO",3112,"HL-SR","Hrvatski Laburisti–Stranka Rada","Croatian Labourists–Labour Party"
"CRO",3113,"HSP-AS","Hrvatska stranka prava dr. Ante Starčević","Croatian Party of Rights dr. Ante Starcevic"
"CRO",3114,"ORaH","Održivi Razvoj Hrvatske","Croatian Sustainable Development"
"MAL",3701,"PL","Partit Laburista","Labour Party"
"MAL",3702,"PN","Partit Nazzjonalista","Nationalist Party"
"LUX",3801,"CSV","Chrëschtlech Sozial Vollekspartei","Christian Social People’s Party"
"LUX",3802,"Greng","Déi Gréng","The Greens"
"LUX",3803,"DP","Demokratesch Partei","Democratic Party"
"LUX",3804,"LSAP","Lëtzebuerger Sozialistesch Aarbechterpartei","Luxembourg Socialist Workers’ Party"
"LUX",3805,"ADR","Alternativ Demokratesch Reformpartei","Alternative Democratic Reform Party"
"LUX",3806,"DL","Déi Lénk","The Left"
"CYP",4001,"DISY","Dimokratikós Sinagermós","Democratic Rally"
"CYP",4002,"Evroko","Evropaiko Komma","European Party"
"CYP",4003,"AKEL","Anorthotikó Kómma Ergazómenou Laoú","Progressive Party of Working People"
"CYP",4004,"DIKO","Dimokratikó Kómma","Democratic Party"
"CYP",4005,"EDEK","Kinima Sosialdimokraton EDEK","Movement for Social Democracy EDEK"
"CYP",4006,"KOP","Kinima Oikologon Perivallontiston","Ecological and Environmental Movement"
"TUR",3401,"AKP","Adalet ve Kalkinma Partisi","Justice and Development Party"
"TUR",3402,"CHP","Cumhuriyet Halk Patisi","Republican People’s Party"
"TUR",3403,"MHP","Milliyetci Hareket Partisi","Nationalist Movement Party"
"TUR",3407,"HDP","Halklarin Demokratik Partisi","Peoples’ Democratic Party"
"NOR",3501,"Ap","Arbeiderpartiet","Labour Party"
"NOR",3502,"FrP","Fremskrittspartiet","Progress Party"
"NOR",3503,"H","Høyre","Conservative Party"
"NOR",3504,"SV","Sosialistisk Venstreparti","Socialist Left Party"
"NOR",3505,"Sp","Senterpartiet","Centre Party"
"NOR",3506,"KrF","Kristelig Folkeparti","Christian Democratic Party"
"NOR",3507,"V","Venstre","Liberal Party"
"NOR",3508,"MDG","Miljøpartiet De Grønne","Green Party"
"SWI",3601,"SVP/UDC","","Swiss People’s Party"
"SWI",3602,"SP/PS","","Social Democratic Party of Switzerland"
"SWI",3603,"FDP/PLR","","FDP. The Liberals"
"SWI",3604,"CVP/PVC","","Christian Democratic People’s Party"
"SWI",3605,"GPS/PES","","Green Party"
"SWI",3606,"GLP/PVL","","Green Liberal Party"
"SWI",3607,"EVP/PEV","","Evangelical People’s Party"
"SWI",3608,"EDU/UDF","","Federal Democratic Union"
"SWI",3610,"LdT","","Ticino League"
"SWI",3611,"CSP/PCS","","Christian Social Party"
"SWI",3612,"BDP","","Conservative Democratic Party"
"BIH",3001,"SDA","Stranka Demokratske Akcije","Party of Democratic Action"
"BIH",3003,"SDP","Socijaldemokratska Partija Bosne i Hercegovine","Social Democratic Party of Bosnia and Herzegovina"
"BIH",3004,"HDZ BiH","Hrvatska Demokratska Zajednica Bosne i Hercegovine","Croatian Democratic Union of BiH"
"BIH",3005,"HDZ 1990","Hrvatska Demokratska Zajednica 1990","Croatian Democratic Union 1990"
"BIH",3006,"SNSD","Savez nezavisnih socijaldemokrata","Alliance of Independent Social Democrats"
"BIH",3007,"SDS","Srpska Demokratska Stranka","Serb Democratic Party"
"BIH",3008,"DF","Demokratska Fronta","Democratic Front"
"BIH",3009,"SBB BiH","Savez za bolju budućnost BiH","Union for a Better Future of BiH"
"BIH",3010,"BPS","Bosanskohercegovacka Patriotska Stranka","Bosnian-Herzegovian Patriotic Party"
"BIH",3011,"PDP","Partija Demokratskog progresa","Party of Democratic Progress"
"BIH",3012,"NDP","Narodni Demokratski Pokret","People’s Democratic Movement"
"BIH",3013,"DNS","Demokratski Narodni Savez","Democratic People’s Alliance"
"MKD",3201,"VMRO-DPMNE","VMRO-DPMNE-koalicija","VMRO-DPMNE-led coalition"
"MKD",3202,"SDSM","“Za podobra Makedonija” SDSM-koalicija","""For a Better Macedonia"" SDSM-led coalition"
"MKD",3204,"DUI","Bashkimi Demokratik për Integrim / Demokratska Unija za Integracija","Democratic Union for Integration"
"MKD",3205,"DPA","Partia Demokratike Shqiptare / Demokratska Partija na Albancite","Democratic Party of Albanians"
"MKD",3208,"GROM","Gragjanska opcija za Makedonija-koalicija","Citizen Option for Macedonia-led coalition"
"SER",3209,"NDP","Rilindja Demokratike Kombëtare / Nacionalna Demokratska Prerodba","National Democratic Revival"
"SER",3302,"DS","Demokratska Stranka","Democratic Party"
"SER",3303,"DSS","Demokratska Stranka Srbije","Democratic Party of Serbia"
"SER",3307,"SPS","Socijalisticka Partija Srbije","Socialist Party of Serbia"
"SER",3308,"LDP","Liberalno-demokratska Partija","Liberal Democratic Party"
"SER",3310,"SNS","Srpska Napredna Stranka","Serbian progressive party"
"SER",3311,"SDP","Socijaldemokratska partija Srbije","Social Democratic Party of Serbia"
"SER",3312,"PUPS","Partija Ujedinjenih Penzionera Srbije","Party of United Pensioners of Serbia"
"SER",3313,"SDS","Socilajdemokratska Stranka","Socialdemocratic Party"
"SER",3314,"LSV","Liga socijaldemokrata Vojvodine","League of Social Democrats of Vojvodina"
"SER",3315,"Dveri","Dveri","Dveri"
"ALB",4101,"PS","Partia Socialiste e Shqipërisë","Socialist Party of Albania"
"ALB",4102,"LSI","Levizja Socialiste për Integrim","Socialist Movement for Integration"
"ALB",4103,"PBDNJ","Partia Bashkimi për të Drejtat e Njeriut","Unity for Human Rights Party"
"ALB",4104,"PKDSH","Partia Kristian Demokrate e Shqipërisë","Christian Democratic Party of Albania"
"ALB",4105,"PD","Partia Demokratike e Shqipërisë","Democratic Party of Albania"
"ALB",4106,"PR","Partia Republikane Shqiptare","Albanian Republican Party"
"ALB",4107,"PDIU","Partia Drejtësi, Integrim dhe Unitet","Justice, Integration and Unity Party"
"KOS",4201,"PDK","Partia Demokratike e Kosovës","Democratic Party of Kosovo"
"KOS",4202,"LDK","Lidhja Demokratike e Kosovës","Democratic League of Kosovo"
"KOS",4203,"LV","Lëvizja Vetëvendosje!","Self-Determination Movement!"
"KOS",4204,"AAK","Aleanca për Ardhmërinë e Kosovës","Alliance for the Future of Kosovo"
"KOS",4205,"SL","Srpska Lista","Serb List"
"KOS",4206,"NPK","Nisma për Kosovën","Initiative for Kosovo"
"KOS",4207,"AKR","Aleanca Kosova e Re","New Kosovo Alliance"
"MNE",4301,"DPS","Demokratska Partija Socijalista Crne Gore","Democratic Party of Socialists of Montenegro"
"MNE",4302,"SDP","Socijaldemokratska Partija Crne Gore","Social Democratic Party of Montenegro"
"MNE",4303,"LPCG","Liberalna Partija Crne Gore","Liberal Party of Montenegro"
"MNE",4304,"NOVA","Nova srpska demokratija","New Serb Democracy"
"MNE",4305,"PzP","Pokret za Promjene","Movement for Changes"
"MNE",4306,"SNP","Socijalistička narodna partija Crne Gore","Socialist People’s Party of Montenegro"
"MNE",4307,"PCG","Pozitivna Crna Gora","Positive Montenegro"
"MNE",4308,"BS","Bošnjačka Stranka","Bosniak Party"
"UKR",4401,"NF","Narodnyy Front","Popular Front"
"UKR",4402,"BPP","Blok Petra Poroshenka","Petro Poroshenko Bloc"
"UKR",4403,"SAMOPOMICH","Samopomich","Self Reliance Party"
"UKR",4404,"OB","Opozytsiynyy Blok","Opposition Bloc"
"UKR",4405,"RP","Radikalna Partiya Oleha Lyashka","Radical Party of Oleh Lyashko"
"UKR",4406,"BATKIVSHCHYNA","Batkivshchyna","All-Ukrainian Union ""Fatherland"""
"UKR",4407,"SVOBODA","Svoboda","Freedom"
"UKR",4408,"KPU","Komunistychna Partiya Ukrayiny","Communist Party of Ukraine"
"UKR",4409,"SU","Sylna Ukraina","Strong Ukraine"
"UKR",4410,"GP","Hromadianska pozytsiia (Anatolii Grytsenko)","Civic Position (Anatolii Grytsenko)"
"UKR",4411,"ZASTUP","Vseukrayins’ke ahrarne ob’yednannya “ZASTUP”","Zastup"
"UKR",4412,"PS","Pravyy sektor","Right Sector"
