country_short,name_short,name_english,party_id,year_first,year_last,hos_first,hog_first
CHL,PAL,Agrarian Labor Party,4636,1952,1957,1952 Carlos Ibáñez del Campo (President),
CHL,PCon,Conservative Party,4643,1958,1963,1958 Jorge Alessandri Rodríguez (President),
CHL,PDC,Christian Democratic Party,390,1964,1999,1964 Eduardo Nicanor Frei Montalva (President),
CHL,PS,Socialist Party of Chile,6,1970,2017,1970 Salvador Allende Gossens (President),
CHL,PPD,Party for Democracy,54,2000,2005,2000 Ricardo Froilán Lagos Escobar (President),
CHL,RN,National Renewal,928,2010,2020,2010 Miguel Juan Sebastián Piñera Echenique (President),
CHN,KMT,Kuomintang of China,5390,1928,1949,"1928 Jiang Zhongzheng ""Chiang Kai-shek"" (Chiang Chung-cheng) (President of the National Government)",1928 Tan Yankai (T'an Yen-k'ai) (President of the National Government)
CHN,CPC,Communist Party of China,5124,1949,2020,1949 Mao Zedong (Chairman of the Central People's Government),1959 Mao Zedong (Chairman)
CIV,PDCI-RDA,Democratic Party of Côte d'Ivoire — African Democratic Rally,5098,1958,2016,1960 Félix Houphouët-Boigny (President),1958 Marcel Auguste Denise (High-Commissioner)
CIV,FPI,Ivorian Popular Front,5096,2000,2010,2000 Laurent Koudou Gbagbo (President),2000 Pascal Affi N'Guessan (President)
CIV,RDR,Rally of the Republicans,5097,2011,2020,2011 Alassane Dramane Ouattara (President),2017 Amadou Gon Coulibaly (President)
CMR,UC,Cameroon Union,5410,1961,1965,1961 Ahmadou Babatoura Ahidjo (President),
CMR,UNC,Cameroonian National Union,5791,1966,1984,1966 Ahmadou Babatoura Ahidjo (President),1975 Paul Biya (President)
CMR,RDPC,Cameroon People’s Democratic Movement,3774,1985,2020,1985 Paul Biya (President),1991 Sadou Hayatou (President)
COD,ABAKO,Alliance des Bakongo,5772,1960,1964,1960 Joseph Kasavubu (Head of State),
COD,MPR,Popular Movement of the Revolution,5091,1967,1996,1967 Joseph Désiré Mobutu (President),1977 Mpinga Kasenga (President)
COD,AFDL,Alliance of Democratic Forces for the Liberation of Congo,8416,1997,2001,1997 Laurent Désiré Kabila (President),
COD,PPRD,People's Party for Reconstruction and Democracy,5090,2002,2020,2002 Joseph Kabila Kabange (President),2012 Augustin Matata Ponyo Mapon (President)
COD,UDPS,Union for Democracy and Social Progress,5092,1992,2020,2019 Félix Antoine Tshisekedi Tshilombo (President),1992 Étienne Tshisekedi wa Mulumba (President)
COG,UDDIA,Democratic Union for the Defense of African Interests,4724,1958,1962,1960 Fulbert Youlou (President),1958 Fulbert Youlou (Lieutenant governor)
COG,MNR,National Movement of the Revolution,5363,1963,1967,1963 Alphonse Massamba-Débat (President),1963 Pascal Lissouba (President)
COG,PCT,Congolese Party of Labour,5365,1969,2020,"1969 Marien Ngouabi (President of the Central Committee of the Congolese Labor Party, President of the Republic)","1973 Henri Lopès (President of the Central Committee of the Congolese Labor Party, President of the Republic)"
COG,UPADS,Pan-African Union for Social Democracy,5364,1992,1996,1992 Pascal Lissouba (President),
COL,LI,Independent Liberals,8305,1880,1883,1880 Rafael Wenceslao Núñez Moledo (President),
COL,PN,National Party,8307,1884,1903,1884 Rafael Wenceslao Núñez Moledo (President),
COL,PCC,Colombian Conservative Party,1577,1904,2001,1904 José Gregorio Ambrosio Rafael Reyes Prieto (President),
COL,PLC,Colombian Liberal Party,362,1930,1997,1930 Enrique Alfredo Olaya Herrera (President),
COL,PC,Colombia First,6363,2002,2009,2002 Álvaro Uribe Vélez (President),
COL,P-U,Social Party of National Unity,759,2010,2017,2010 Juan Manuel Santos Calderón (President),
COL,CD,"Democratic Centre – ""Strong Hand, Big Heart""",5879,2018,2020,2018 Iván Duque Márquez (President),
COM,FNU,United National Front,8424,1975,1975,"1975 Saïd Mohamed Jaffar El Amdjade (President of the National Executive Council, Head of State)",
COM,RDPC,Democratic Rally of the Comorian People,8423,1976,1977,1976 Ali Soilihi Mtsachioi (Head of State),
COM,UCP,Comorian Union for Progress,5296,1978,1988,1978 Ahmed Abdallah Abderemane (President),1982 Ali Mroudjae (President)
COM,RDR,Rally for Democracy and Renewal,5298,1993,1995,1993 Saïd Mohamed Djohar (President),1993 Ahmed ben Cheikh Attoumane (President)
COM,RND,National Rally for Development,6582,1996,1997,1996 Mohamed Taki Abdoulkarim (President),1996 Ahmed Abdou (President)
COM,CRC,Convention for the Renewal of the Comoros,5297,2002,2020,2002 Azali Assoumani (President),
COM,BM,Baobab Movement,7485,2006,2015,2006 Ahmad Abdallah Mohamed Sambi (President),
CPV,PAIGC,African Party for the Independence of Guinea and Cape Verde,5792,1975,1980,1975 Aristides Maria Pereira (President),1975 Pedro Verona Rodrigues Pires (President)
CPV,PAICV,African Party for the Independence of Cape Verde,3796,1981,2015,1981 Aristides Maria Pereira (President),1981 Pedro Verona Rodrigues Pires (President)
CPV,MPD,Movement for Democracy,3793,1991,2020,1991 António Manuel Mascarenhas Gomes Monteiro (President),1991 Carlos Alberto Wahnon de Carvalho Veiga (President)
CRI,Lib,Liberal [no-party],8725,1880,1888,1880 Tomás Miguel Guardia Gutiérrez (President),
CRI,NP,National Party,7436,1889,1889,1889 Carlos Duran Cartin (President),
CRI,PC,Constitutional Party,5603,1890,1923,1890 José Joaquín Rodríguez Zeledón (President),
CRI,Civ,Civil Party,5783,1894,1905,1894 Rafael Anselmo José Iglesias Castro (President),
CRI,PUN,National Union Party,161,1906,1909,1906 Cleto de Jesús González Víquez (President),
CRI,PRN,National Republican Party,4436,1910,1947,1910 Ricardo Jiménez Oreamuno (President),
CRI,PP,Peliquista Party,7439,1917,1918,1917 José Federico Alberto de Jesús Tinoco Granados (President),
CRI,UC,Unity Coalition,5117,1919,1981,1919 Francisco Ramón de Jesús Aguilar Barquero (President),
CRI,PUN,National Unification Party,4422,1928,1969,1928 Cleto de Jesús González Víquez (President),
CRI,SD,Social Democratic Party,5118,1948,1948,1948 José María Hipólito Figueres Ferrer (President of Founding Junta of the Second Republic),
CRI,PLN,National Liberation Party,1367,1953,2013,1953 José María Hipólito Figueres Ferrer (President),
CRI,PUSC,Social Christian Unity Party,1199,1990,2005,1990 Rafael Ángel Calderón Fournier (President),
CRI,PAC,Citizens' Action Party,1247,2014,2020,2014 Luis Guillermo Solís Rivera (President),
CUB,PM,Moderate Party,6833,1902,1905,1902 Tomás Estrada Palma (President),
CUB,PLC/PLA,Liberal Party of Cuba / Autonomist Liberal Party,4725,1909,1943,1909 José Miguel Gómez y Góme (President),1942 Ramón Zaydín y Márquez Sterling (President)
CUB,PC,Conservative Party,8383,1913,1920,1913 Aurelio Mario Gabriel Francisco García Menocal y Deop (President),
CUB,PRC,Conservative Republican Party,6836,1933,1933,1933 Ramón Grau San Martín (President),
CUB,UN,National Union,6049,1934,1939,1934 Carlos Mendieta y Montefur (President),
CUB,PSP,Popular Socialist Party,4659,1940,1943,1940 Rubén Fulgencio Batista y Zaldívar (President),1940 Carlos Saladrigas y Zayas (President)
CUB,PRC-A,Cuban Revolutionary Party – Authentic,4726,1944,1951,1944 Ramón Grau San Martín (President),1944 Félix Lancís Sánchez (President)
CUB,PAP/PAU,Progressive Action Party / United Action Party,6437,1951,1958,1952 Rubén Fulgencio Batista y Zaldívar (President),1951 Óscar B. Gans y López Martínez (President)
CUB,M-26-7,26th of July Movement,8380,1959,1960,1959 Osvaldo Dorticós Torrado (President),1959 Fidel Alejandro Castro Ruz (President)
CUB,PCC,Communist Party of Cuba,4892,1961,2020,1961 Fidel Alejandro Castro Ruz (First Secretary of the Communist Party of Cuba),2019 Manuel Marrero Cruz (President)
CYP,DIKO,Democratic Party,635,1977,2007,1977 Spýros Achilléos Kyprianoú (President),
CYP,DISY,Democratic Rally,563,1993,2020,1993 Gláfkos Ioánnou Klirídis (President),
CYP,AKEL,Progressive Party of Working People,1076,2008,2012,2008 Dimítris Christofí Christófias (President),
CZE,CSNS,Czechoslovak National Social Party (1897),5244,1935,1947,1935 Edvard Beneš (President),
CZE,KSC,Communist Party of Czechoslovakia,1041,1946,1989,1948 Klement Gottwald (President),1946 Klement Gottwald (President)
CZE,ODS,Civic Democratic Party,466,1992,2012,2003 Václav Klaus (President),1992 Jan Stráský (President)
CZE,SPOZ / SPO,Party of Civic Rights – Zeman's people / Party of Civic Rights,1272,2013,2020,2013 Miloš Zeman (President),
DDR,SED,Socialist Unity Party of Germany / National Front,4658,1949,1989,1949 Friedrich Wilhelm Reinhold Pieck (President),1950 Ernst Paul Walter Ulbricht (President)
DDR,LDPD,Liberal Democratic Party of Germany,792,1989,1989,1989 Manfred Gerlach (Chairman of the Council of State),
DDR,CDU,Christian Democratic Union,1446,1990,1990,1990 Sabine Bergmann-Pohl (President of the People's Chamber),1990 Lothar de Maizière (President of the People's Chamber)
DEU,SPD,Social Democratic Party of Germany,383,1918,2020,1918 [Collective Body] (Chairmen of the Central Council of the German Socialist Republic),1918 Friedrich Ebert + Philipp Heinrich Scheidemann (Chairmen of the Central Council of the German Socialist Republic)
DEU,NSDAP,National Socialist German Workers' Party,1893,1933,1944,1934 Adolf Hitler (Führer),1933 Adolf Hitler (President)
DEU,FDP,Free Democratic Party,573,1949,1978,1949 Theodor Heuss (President),
DEU,CDU,Christian Democratic Union,1375,1949,2020,1959 Karl Heinrich Lübke (President),1949 Konrad Hermann Joseph Adenauer (President)
DJI,RPP,People's Rally for Progress,5125,1977,2020,1977 Hassan Gouled Aptidon (President),1977 Ahmed Dini Ahmed (President)
DOM,PA,"""Blue"" Party",8345,1880,1915,1880 Fernando Arturo de Meriño y Ramírez (President),
DOM,PR,"""Red"" Party",8346,1902,1911,1902 Felipe Horacio Vásquez Lajara (President of the Provisional Government),
DOM,PN,National Party (Horacistas),8132,1924,1929,1924 Felipe Horacio Vásquez Lajara (President),
DOM,PD,Dominican Party,4728,1930,1961,1930 Rafael Leonidas Trujillo y Molina (President),1938 Rafael Leonidas Trujillo y Molina (President)
DOM,PR,Republican Party,5785,1962,1962,1962 Rafael Filiberto Bonnelly Fondeur (President),
DOM,PRSC,Social Christian Reformist Party,194,1965,1995,1965 Héctor Federico García Godoy Cáceres (President),
DOM,PRD,Dominican Revolutionary Party,1441,1978,2003,1978 Silvestre Antonio Guzmán Fernández (President),
DOM,PLD,Dominican Liberation Party,1225,1996,2019,1996 Leonel Antonio Fernández Reyna (President),
DOM,PRM,Modern Revolutionary Party,7544,2020,2020,2020 Luis Rodolfo Abinader Corona (President),
DZA,FLN,National Liberation Front,4111,1962,2020,1962 Mohamed Ahmed Ben Bella (President of the Government),1979 Mohamed Benahmed Abdelghani (President)
DZA,RND,National Rally for Democracy,4113,1997,2018,1997 Liamine Zéroual (President),1997 Ahmed Ouyahia (President)
ECU,PCE,Ecuadorian Conservative Party,4349,1880,1946,1880 Mario Ignacio Francisco Tomás (President),
ECU,PP,Partido Progresista,8320,1883,1894,1883 José María Plácido de la Trinidad Caamaño y Gómez Cornejo (President),
ECU,PLRE,Liberal Party/Eduadorian Radical Liberal Party,4270,1895,1943,1895 José Eloy Alfaro Delgado (President),
ECU,CL,Anti-Liberal,8321,1926,1930,1926 Isidro Ramón Antonio Ayora Cueva (President),
ECU,PUR,Republican Unity Party,4271,1932,1995,1932 Juan de Dios Martínez Mera (President),
ECU,MCDN,National Democratic Civic Movement,4621,1948,1951,1948 Galo Lincoln Plaza Lasso de la Veg (President),
ECU,FNV,National Velazquist Federation,4729,1952,1971,1952 José María Velasco Ibarra (President),
ECU,PSC,Social Christian Party [Movement],950,1956,1987,1956 Camilo Ponce Enríquez (President),
ECU,CID,Democratic Institutionalist Coalition,7106,1966,1967,1966 Otto Arosemena Gómez (President),
ECU,CFP,Concentration of Popular Forces,4348,1979,1980,1979 Jaime Roldós Aguilera (President),
ECU,UDC/DP,Christian Democratic Union / Popular Democracy,1405,1981,2002,1981 Luis Osvaldo Hurtado Larrea (President),
ECU,ID,Democratic Left,797,1988,1991,1988 Rodrigo Borja Cevallos (President),
ECU,PRE,Ecuadorian Roldosist Party,1450,1996,1996,1996 Abdala Jaime Bucaram Ortiz (President),
ECU,FRA,Alfarista Radical Front,4198,1997,1997,1997 Fabián Ernesto Alarcón Rivera (President),
ECU,PSP,Patriotic Society Party,246,2003,2004,2003 Lucio Edwin Gutiérrez Borbúa (President),
ECU,PAIS,PAIS Alliance,4044,2007,2020,2007 Rafael Vicente Correa Delgado (President),
EGY,LR,Liberation Rally,6439,1953,1954,1953 Muhammad Yusuf Naguib (President),1954 Gamal Abdel Nasser (President of the Council of Ministers)
EGY,NU,National Union,6417,1957,1961,1957 Gamal Abdel Nasser (President),
