party_id,country,party_name_short,party_name_english,party_name,family,url,first,last,cabinet_n,election_n,share_max_year,share_max,wikipedia
2783,SVK, KDZP, Christian Democracy -- Life and Prosperity,Kresťanská demokracia – Život a prosperita,chr,http://www.parlgov.org/explore/svk/party/2783/,2019,2019,,1,2019,2.1,https://sk.wikipedia.org/wiki/Kres%C5%A5ansk%C3%A1_demokracia_%E2%80%93_%C5%BDivot_a_prosperita
2750,SVK,KU,Christian Union,Kresťanská únia,chr,http://www.parlgov.org/explore/svk/party/2750/,2019,2019,,1,2019,3.9,https://sk.wikipedia.org/wiki/Kres%C5%A5ansk%C3%A1_%C3%BAnia
1432,SVK,KDH,Christian Democratic Movement,Kresťanskodemokratické hnutie,chr,http://www.parlgov.org/explore/svk/party/1432/,1990,2020,6,9,1990,19.2,http://en.wikipedia.org/wiki/Christian_Democratic_Movement
586,SVK,LsNS,People's Party Our Slovakia,Ľudová strana Naše Slovensko,right,http://www.parlgov.org/explore/svk/party/586/,2010,2020,,4,2016,8,https://en.wikipedia.org/wiki/Kotlebists_%E2%80%93_People%27s_Party_Our_Slovakia
1615,SVK,Lu+Ls,People's Union -- Liberal Party,Ludová únia – Liberálna strana,con,http://www.parlgov.org/explore/svk/party/1615/,2004,2004,,1,2004,1.7,http://en.wikipedia.org/wiki/Liber%C3%A1lna_strana
2246,SVK,MOS,Hungarian Civic Party,Maďarská občianska strana – Magyar polgári párt,lib,http://www.parlgov.org/explore/svk/party/2246/,1992,1994,,2,1992,2.3,http://sk.wikipedia.org/wiki/Ma%C4%8Farsk%C3%A1_ob%C4%8Dianska_strana
559,SVK,MK,Hungarian Coalition,Maďarskej koalície – Magyar koalíció,con,http://www.parlgov.org/explore/svk/party/559/,1990,2020,3,10,2006,11.7,http://en.wikipedia.org/wiki/Party_of_the_Hungarian_Coalition
2390,SVK,MS,Beautiful Slovakia,Magnificat Slovakia,chr,http://www.parlgov.org/explore/svk/party/2390/,2014,2014,,1,2014,1.2,http://sk.wikipedia.org/wiki/Magnificat_Slovakia
1620,SVK,MH,Most-Hid,Most-Híd,con,http://www.parlgov.org/explore/svk/party/1620/,2010,2020,5,4,2010,8.1,http://en.wikipedia.org/wiki/Most%E2%80%93H%C3%ADd
2391,SVK,NaS-NS,Nation and Justice -- Our Party,Národ a spravodlivosť – Naša strana,right,http://www.parlgov.org/explore/svk/party/2391/,2014,2014,,1,2014,1.4,http://sk.wikipedia.org/wiki/N%C3%A1rod_a_Spravodlivos%C5%A5_%E2%80%93_na%C5%A1a_strana
1228,SVK,NDS,National Democratic Party,Národno-demokratická strana,right,http://www.parlgov.org/explore/svk/party/1228/,,,1,,,,http://sk.wikipedia.org/wiki/N%C3%A1rodno-demokratick%C3%A1_strana
2237,SVK,NS,New Slovakia,Nové Slovensko,spec,http://www.parlgov.org/explore/svk/party/2237/,1994,1994,,1,1994,1.3,http://sk.wikipedia.org/wiki/Vo%C4%BEby_do_N%C3%A1rodnej_rady_Slovenskej_republiky_v_roku_1994
1645,SVK,OKS,Civic Conservative Party,Obcianska konzervatívna strana,con,http://www.parlgov.org/explore/svk/party/1645/,2004,2014,,3,2014,6.8,http://en.wikipedia.org/wiki/Civic_Conservative_Party
1759,SVK,OLaNO,Ordinary People and Independent,Obyčajní ľudia a nezávislé osobnosti,con,http://www.parlgov.org/explore/svk/party/1759/,2010,2020,2,4,2020,25,http://en.wikipedia.org/wiki/Ordinary_People_%28Slovakia%29
20,SVK,PSNS,Real Slovak National Party,Pravá Slovenská národná strana,right,http://www.parlgov.org/explore/svk/party/20/,2002,2002,,1,2002,3.6,http://en.wikipedia.org/wiki/True_Slovak_National_Party
2389,SVK,PaS,Law and Justice,Právo a spravodlivost,com,http://www.parlgov.org/explore/svk/party/2389/,2014,2014,,1,2014,1.7,http://en.wikipedia.org/wiki/List_of_political_parties_in_Slovakia
2751,SVK,PS,Progressive Slovakia,Progresívne Slovensko,lib,http://www.parlgov.org/explore/svk/party/2751/,2019,2020,,1,2020,7,https://en.wikipedia.org/wiki/Progressive_Slovakia
2624,SVK,S,Network,Sieť,con,http://www.parlgov.org/explore/svk/party/2624/,2016,2016,1,1,2016,5.6,https://en.wikipedia.org/wiki/Network_%28Slovak_party%29
1460,SVK,SaS,Freedom and Solidarity,Sloboda a solidarita,lib,http://www.parlgov.org/explore/svk/party/1460/,2009,2020,4,4,2010,12.1,http://en.wikipedia.org/wiki/Freedom_and_Solidarity
752,SVK,SF,Free Forum,Slobodné fórum,lib,http://www.parlgov.org/explore/svk/party/752/,2004,2009,,1,2006,3.5,http://en.wikipedia.org/wiki/Free_Forum
131,SVK,SDKU-DS,Slovak Democratic and Christian Union -- Democratic Party,Slovenská demokratická a kresťanská únia – Demokratická strana,chr,http://www.parlgov.org/explore/svk/party/131/,2002,2014,4,4,2006,18.4,http://en.wikipedia.org/wiki/Slovak_Democratic_and_Christian_Union_%E2%80%93_Democratic_Party
313,SVK,SDK,Slovak Democratic Coalition,Slovenská demokratická koalícia,chr,http://www.parlgov.org/explore/svk/party/313/,1998,1998,1,1,1998,26.3,http://en.wikipedia.org/wiki/Slovak_Democratic_Coalition
1072,SVK,SNS,Slovak National Party,Slovenská národná strana,right,http://www.parlgov.org/explore/svk/party/1072/,1990,2020,8,10,1990,13.9,http://en.wikipedia.org/wiki/Slovak_National_Party
2623,SVK,SR,We are family -- Boris Kollar,Sme Rodina – Boris Kollár,right,http://www.parlgov.org/explore/svk/party/2623/,2016,2020,2,2,2020,8.2,https://en.wikipedia.org/wiki/We_Are_Family_%28Slovakia%29
220,SVK,Smer,Direction -- Social Democracy,Smer – sociálna demokracia,soc,http://www.parlgov.org/explore/svk/party/220/,2002,2020,5,6,2012,44.4,http://en.wikipedia.org/wiki/Party_Direction_-_Third_Way
64,SVK,SDA,Social Democratic Alternative,Sociálnodemokratická alternatíva,soc,http://www.parlgov.org/explore/svk/party/64/,2002,2002,,1,2002,1.8,http://en.wikipedia.org/wiki/Social_Democratic_Alternative
1651,SVK,SDSS,Social Democratic Party of Slovakia,Sociálnodemokratická strana Slovenska,soc,http://www.parlgov.org/explore/svk/party/1651/,1990,2014,,2,1992,4,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Slovakia
2233,SVK,SPV,Alliance of Farmers and the Countryside,Spojenestvo poľnohospodárov a vidieka,agr,http://www.parlgov.org/explore/svk/party/2233/,1990,1990,,1,1990,2.5,http://sk.wikipedia.org/wiki/Vo%C4%BEby_do_Slovenskej_n%C3%A1rodnej_rady_v_roku_1990
527,SVK,SV,Common Choice,Spoločná voľba,com,http://www.parlgov.org/explore/svk/party/527/,1994,1994,,1,1994,10.4,http://en.wikipedia.org/wiki/Common_Choice
1415,SVK,SDL,Party of the Democratic Left,Strana demokratickej ľavice,com,http://www.parlgov.org/explore/svk/party/1415/,1990,2002,2,4,1992,14.7,http://en.wikipedia.org/wiki/Party_of_the_Democratic_Left_%28Slovakia%29
2317,SVK,SDL-05,Party of the Democratic Left -- 2005,Strana demokratickej ľavice – 2005,soc,http://www.parlgov.org/explore/svk/party/2317/,2010,2010,,1,2010,2.4,http://en.wikipedia.org/wiki/Party_of_the_Democratic_Left_%282005%29
1016,SVK,SOP,Party of Civic Understanding,Strana občianskeho porozumenia,soc,http://www.parlgov.org/explore/svk/party/1016/,1998,1998,1,1,1998,8,http://sk.wikipedia.org/wiki/Strana_ob%C4%8Dianskeho_porozumenia
2238,SVK,SPK,"Party against Corruption, for Order, Labour and Money for all Decent Citizens","Strana proti korupcii, za poriadok, prácu a peniaze pre všetkých slušných obcanov",spec,http://www.parlgov.org/explore/svk/party/2238/,1994,1994,,1,1994,1.3,"http://en.wikipedia.org/wiki/Slovak_parliamentary_election,_1994"
2232,SVK,SSL,Freedom Party,Strana slobody,lib,http://www.parlgov.org/explore/svk/party/2232/,1990,1990,,1,1990,1.8,http://en.wikipedia.org/wiki/Freedom_Party_(Slovakia)
2388,SVK,TIP,TIP Party -- We create another policy ,Strana TIP – Tvoríme inú politiku,lib,http://www.parlgov.org/explore/svk/party/2388/,2014,2014,,1,2014,3.7,http://sk.wikipedia.org/wiki/Redaktor:Strana-Tip
