party,pervote_max_year,pervote_max
42520,1966,48.3
42710,2008,10.7
42951,2013,5.7
43110,2007,9.6
43120,2011,5.4
43220,1995,1.2
43320,1955,26.8
43321,1967,9
43420,1979,24.1
43520,1963,23.2
43530,2007,2.4
43531,1991,3
43540,2007,0.4
43710,1991,3.3
43711,1995,1.3
43810,2015,29.4
43811,2011,5.4
43901,2011,0.8
43902,2011,0.4
43951,1991,5.1
51110,2015,3.8
51210,2017,0.7
51320,1951,48.8
51330,1983,11.6
51340,2015,0.3
51420,1974,19.3
51421,2010,23
51620,1955,49.7
51621,1997,0.8
51901,2015,0.6
51902,2015,4.7
51903,2017,0.9
51951,2015,12.6
52320,1925,
52620,1921,
52710,1921,
53021,2011,2.7
53110,2007,4.7
53220,1989,5
53221,1992,2.8
53230,2011,1.2
53231,2016,2
53240,2016,2
53250,2016,0.3
53320,2011,19.4
53321,2016,3
53420,1987,11.8
53520,1982,39.2
53620,1977,50.6
53714,1948,13.2
53810,1948,5.6
53951,2016,13.8
53981,2016,4.2
54320,1996,50.7
54620,1998,51.8
55110,2016,4.8
55321,2001,35.2
55322,2011,8.9
55340,2016,6
55421,1996,0
55422,2006,17.9
55423,1996,3.7
55430,2006,5.7
55610,2016,5.2
55711,2001,34.5
55720,2016,3.7
61320,1964,57.7
61620,1920,58.2
61621,1924,0.1
61622,1948,0.1
61911,1948,0.1
62110,2008,6.8
62320,2011,30.6
62420,1949,49.5
62620,1958,53.6
62621,1997,19.4
62622,2e3,25.5
62623,2011,39.6
62901,1993,13.5
62951,1963,11.9
63110,2010,11.8
63320,1954,50
63321,1990,11.3
63330,1958,7.8
63410,2013,5.5
63620,1975,41.8
63621,2010,9.1
63622,2013,0.3
63710,2013,1
63810,1987,11.5
63901,2016,1.8
64110,2011,11.1
64320,1946,51.3
64321,1993,18.2
64420,2002,7.1
64421,2002,6.7
64422,2002,1.7
64620,1951,54
64621,1996,12.9
64901,2005,3.4
64902,2011,1.1
64951,1981,20.7
71110,2012,5.7
71111,2014,1.9
71220,1996,13.1
71320,1963,29
71321,1960,8.8
71322,1990,0.9
71410,2012,8.7
71420,2003,0
71430,2012,20.4
71530,2003,14.8
71620,1960,57.6
71621,1976,4.2
71622,1993,10.1
71623,1996,28
71624,2009,42.4
71625,2e3,11
71626,2e3,0.4
71630,2005,1.7
71640,2003,0
71650,2012,0.6
71660,2014,15.7
71710,2014,2.7
71951,1993,2.6
71952,1993,8
71953,2009,0.8
72091,2015,10.6
72092,2009,3.4
72220,1955,4.5
72221,1973,1.4
72222,1984,1.8
72223,1977,1.6
72224,1973,3.4
72225,1977,4.6
72310,1988,4.3
72311,1949,14.7
72312,2003,2.8
72320,1969,46.2
72322,1965,7.9
72323,1992,34.6
72324,1959,38.2
72325,1961,7.5
72326,1992,9.6
72327,1999,19.9
72328,2015,18.7
72410,1965,3.8
72411,1961,13.6
72412,1977,11.6
72413,2003,12.3
72414,1984,2.2
72415,1999,4.9
72420,1951,16.2
72425,1984,1.1
72427,1996,3.2
72428,1996,5.7
72430,2009,22.5
72431,2013,5
72440,2013,14.3
72450,2015,7.5
72530,1959,9.9
72531,1981,3.7
72532,1981,2.3
72533,1999,12.8
72534,1984,1.6
72535,2006,4.7
72610,1969,1.2
72611,1969,3.1
72612,1984,3.2
72613,1992,6.4
72614,1988,1.5
72615,1992,2.4
72620,1961,13.8
72621,1969,21.7
72622,1981,37.1
72623,1977,1.9
72624,2003,5.5
72625,2009,11.7
72701,2013,9.1
72901,1996,2.9
72903,2013,2.6
72951,2006,5.9
73310,1952,
73330,1947,
74210,2015,12.8
74321,1977,41.4
74322,1983,30.5
74323,1987,24.7
74324,1999,22.3
74325,2011,6.6
74326,2007,4.6
74621,1954,57.6
74622,1965,52.9
74623,1983,45.1
74624,1991,27
74625,1965,6.3
74626,1999,1.5
74627,1999,0.6
74628,2011,49.8
74710,1954,5.3
74711,1983,23.3
74712,1999,18.1
74714,1973,11.8
74715,1995,21.4
74716,1999,15.5
75220,1991,56.2
75320,1992,4.4
75421,1997,2.7
75621,1991,0
