wave,year,country,party,n,share
3,1998,392,392024,20,4.5
3,1998,428,428001,140,14.4
3,1998,428,428004,53,5.5
3,1998,428,428010,4,0.4
3,1998,428,428011,92,9.5
3,1998,428,428012,46,4.7
3,1998,428,428013,28,2.9
3,1998,428,428014,74,7.6
3,1998,428,428015,90,9.3
3,1998,428,428017,35,3.6
3,1998,428,428018,131,13.5
3,1998,428,428019,31,3.2
3,1998,428,428020,10,1
3,1998,428,428021,3,0.3
3,1998,428,428022,14,1.4
3,1998,428,428023,103,10.6
3,1998,428,428024,14,1.4
3,1998,428,428025,16,1.6
3,1998,428,428027,60,6.2
3,1998,428,428028,28,2.9
3,1998,440,428013,18,2.5
3,1998,440,440001,170,23.9
3,1998,440,440002,75,10.6
3,1998,440,440003,79,11.1
3,1998,440,440004,123,17.3
3,1998,440,440005,61,8.6
3,1998,440,440006,43,6.1
3,1998,440,440007,27,3.8
3,1998,440,440009,9,1.3
3,1998,440,440013,41,5.8
3,1998,440,440015,8,1.1
3,1998,440,440016,6,0.8
3,1998,440,440019,6,0.8
3,1998,440,440020,2,0.3
3,1998,440,440021,8,1.1
3,1998,440,440022,1,0.1
3,1998,440,440024,1,0.1
3,1998,440,440026,2,0.3
3,1998,440,440051,7,1
3,1998,440,440052,13,1.8
3,1998,440,440058,9,1.3
3,1998,440,440059,1,0.1
3,1998,484,484001,561,32.8
3,1998,484,484002,585,34.2
3,1998,484,484003,477,27.9
3,1998,484,484004,88,5.1
3,1998,498,498015,44,4.8
3,1998,498,498016,192,21.1
3,1998,498,498017,16,1.8
3,1998,498,498018,5,0.5
3,1998,498,498019,64,7
3,1998,498,498020,25,2.7
3,1998,498,498021,10,1.1
3,1998,498,498022,32,3.5
3,1998,498,498023,12,1.3
3,1998,498,498024,20,2.2
3,1998,498,498025,42,4.6
3,1998,498,498026,42,4.6
3,1998,498,498027,6,0.7
3,1998,498,498028,5,0.5
3,1998,498,498029,6,0.7
3,1998,498,498030,4,0.4
3,1998,498,498031,13,1.4
3,1998,498,498032,69,7.6
3,1998,498,498033,1,0.1
3,1998,498,498034,8,0.9
3,1998,498,498036,15,1.6
3,1998,498,498037,3,0.3
3,1998,498,498038,32,3.5
3,1998,498,498039,3,0.3
3,1998,498,498040,89,9.8
3,1998,498,498041,24,2.6
3,1998,498,498042,4,0.4
3,1998,498,498044,8,0.9
3,1998,498,498045,10,1.1
3,1998,498,498046,8,0.9
3,1998,498,498047,93,10.2
3,1998,498,498048,3,0.3
3,1998,498,498049,3,0.3
3,1998,554,554001,38,4.2
3,1998,554,554002,71,7.9
3,1998,554,554003,24,2.7
3,1998,554,554004,27,3
3,1998,554,554005,393,43.9
3,1998,554,554006,306,34.2
3,1998,554,554007,35,3.9
3,1998,554,554008,2,0.2
3,1998,578,578001,413,41.2
3,1998,578,578002,118,11.8
3,1998,578,578003,156,15.6
3,1998,578,578007,94,9.4
3,1998,578,578008,68,6.8
3,1998,578,578009,66,6.6
3,1998,578,578010,13,1.3
3,1998,578,578027,74,7.4
3,1998,604,604002,40,5.4
3,1998,604,604005,92,12.5
3,1998,604,604006,25,3.4
3,1998,604,604008,458,62.2
3,1998,604,604012,5,0.7
3,1998,604,604015,4,0.5
3,1998,604,604016,28,3.8
3,1998,604,604017,23,3.1
3,1998,604,604018,6,0.8
3,1998,604,604019,22,3
3,1998,604,604020,33,4.5
3,1998,608,608002,67,6.7
3,1998,608,608003,45,4.5
