id,id_duplicate,ignore,country,name_short,name,name_english,name_source
834017,,0,TZA,,,Social Democratic Party of Moldavia,TZ: Social Democratic Party of Moldavia
834018,,0,TZA,,,Social Democratic Alliance of Moldavia ´The ant´,TZ: Social Democratic Alliance of Moldavia ´The ant´
834019,,0,TZA,,,National Rustic Christian Democratic Party,TZ: National Rustic Christian Democratic Party
834020,,0,TZA,,,Political Movement ´Equality rights´,TZ: Political Movement ´Equality rights´
834021,,0,TZA,,,Independent Alliance of Republic of Moldavia,TZ: Independent Alliance of Republic of Moldavia
834022,,1,TZA,,,Independent,TZ: Independent
840001,,0,USA,,,Republican,US: Republican
840002,,0,USA,,,Democrat,US: Democrat
840003,,1,USA,,,Independent,US: Independent
840004,,0,USA,,,Libertarian,US: Libertarian
840005,,0,USA,,,Reform Party,US: Reform Party
854001,,0,BFA,CDP,CDP,,BF: CDP
854002,,0,BFA,ADF-RDA,ADF/ RDA,,BF: ADF/ RDA
854003,,0,BFA,UPR,UPR,,BF: UPR
854004,,0,BFA,PDS,PDS,,BF: PDS
854005,,0,BFA,PAI,PAI,,BF: PAI
858001,,0,URY,,Partido Colorado,,UY: Partido Colorado
858002,,0,URY,,Partido Nacional,,UY: Partido Nacional
858003,,0,URY,,Frente Amplio,,UY: Frente Amplio
858004,,0,URY,,Partido Independiente,,UY: Partido Independiente
858005,,0,URY,,Nuevo Espacio,,UY: Nuevo Espacio
858006,,1,URY,,Undocumented,,UY: Undocumented
862001,,0,VEN,MVR,MVR,,VE: MVR
862002,,0,VEN,AD,AD,,VE: AD
862003,,0,VEN,MAS,MAS,,VE: MAS
862004,,0,VEN,COPEI,COPEI,,VE: COPEI
862005,,0,VEN,,Proyecto Venezuela,,VE: Proyecto Venezuela
862006,,0,VEN,,Primero Justicia,,VE: Primero Justicia
862007,,0,VEN,,La Causa R,,VE: La Causa R
862008,,0,VEN,,Patria para todos,,VE: Patria para todos
862009,,0,VEN,,Convergencia,,VE: Convergencia
862010,,0,VEN,,Un nuevo tiempo,,VE: Un nuevo tiempo
862011,,0,VEN,URD,,,VE: URD
862012,,0,VEN,,Alianza al Bravo Pueblo,,VE: Alianza al Bravo Pueblo
862013,,0,VEN,P-N,PATRIA NUEVA,,VE: PATRIA NUEVA
862014,,0,VEN,EDP,EDP,,VE: EDP
862015,,0,VEN,,Frente de Trabajadores,,VE: Frente de Trabajadores
862016,,0,VEN,MEP,,,VE: MEP
862017,,0,VEN,MCP,,,VE: MCP
862018,,0,VEN,PCV,,,VE: PCV
862019,,0,VEN,,Conservador,,VE: Conservador
862020,,0,VEN,,Liberal,,VE: Liberal
862021,,0,VEN,,Perez Jimenez / Perez Jimenista,,VE: Perez Jimenez / Perez Jimenista
862022,,0,VEN,,Izquierdista,,VE: Izquierdista
862023,,0,VEN,,Renovacionta,,VE: Renovacionta
862024,,0,VEN,,Encuentro Nacional,,VE: Encuentro Nacional
862025,,0,VEN,,Electores de Miranda,,VE: Electores de Miranda
862026,,0,VEN,,Independiente,,VE: Independiente
862027,,0,VEN,,Democracia Directa,,VE: Democracia Directa
862029,,0,VEN,,Personalista,,VE: Personalista
862030,,0,VEN,MD,,,VE: MD
887001,,0,YEM,Islah,,Yemeni Congregation for Reform,YE: Islah (Yemeni Congregation for Reform)
887002,,0,YEM,GPC,,General Popular Congress,YE: GPC (General Popular Congress)
887003,,0,YEM,YSP,,Yemeni Socialist Party,YE: YSP (Yemeni Socialist Party)
887004,,0,YEM,,,Nasserist Unionist,YE: Nasserist Unionist
887005,,0,YEM,,,Party of Right,YE: Party of Right
887006,,0,YEM,,,Arrashad Union Party,YE: Arrashad Union Party
887007,,0,YEM,,,Yemeni Construction and Development Party,YE: Yemeni Construction and Development Party
887008,,0,YEM,,,Popular Forces Union,YE: Popular Forces Union
887009,,0,YEM,YSP,,"Coalition Joint Meeting (Islah, YSP, …)","YE: Coalition Joint Meeting (Islah, YSP, ...)"
894001,,0,ZMB,MD,,Movement for Multi Party Democracy,ZM: MD (Movement for Multi Party Democracy)
894002,,0,ZMB,PF,,Patriotic Front,ZM: PF (Patriotic Front)
894003,,0,ZMB,UDA,,United Democratic Alliance,ZM: UDA (United Democratic Alliance)
894004,,0,ZMB,HP,,Heritage party,ZM: HP Heritage party
894005,,0,ZMB,APC,,All People´s Congress Party,ZM: APC - All People´s Congress Party
894007,,0,ZMB,,,United Liberal Party,ZM: United Liberal Party
894008,,0,ZMB,UNIP,,,ZM: UNIP
911001,,0,SRB,DS,,Democratic Party,RS: Democratic Party - DS
911002,,0,SRB,DSS,,Democratic Party of Serbia,RS: Democratic Party of Serbia - DSS
911003,,0,SRB,SRS,,Serbian Radical Party,RS: Serbian Radical Party - SRS
911004,,0,SRB,G17+,,,RS: G17+
911005,,0,SRB,LDP,,Liberal Democratic Party,RS: Liberal Democratic Party - LDP
911006,,0,SRB,NS,,New Serbia,RS: New Serbia - NS
911007,,0,SRB,PSS,,Movement Strenght of Serbia,RS: Movement Strenght of Serbia - PSS
911008,,0,SRB,SVM,,Alliance of Vojvodina Hungarians,RS: Alliance of Vojvodina Hungarians - SVM
911009,,0,SRB,LSV,,League of Social Democrats of Vojvodina,RS: League of Social Democrats of Vojvodina - LSV
911010,,0,SRB,JS,,United Serbia,RS: United Serbia - JS
911011,,0,SRB,PDP,,Party for Democratic Progress,RS: Party for Democratic Progress - PDP
911012,,0,SRB,PDD,,Party for Democratic Action,RS: Party for Democratic Action - PDD
911013,,0,SRB,UPR,,Roma Union of Serbia,RS: Roma Union of Serbia - UPR
911014,,0,SRB,RP,,Roma Party,RS: Roma Party - RP
911015,,0,SRB,SPS,,Socialist Party of Serbia,RS: Socialist Party of Serbia - SPS
911016,,0,SRB,SDA,Stranka demokratske akcije,,RS: Stranka demokratske akcije - SDA
911017,,0,SRB,SDP,,Sanjak Democratic Party,RS: Sanjak Democratic Party - SDP
911018,,0,SRB,SDPP,,Serbian Democratic Renewal Movement,RS: Serbian Democratic Renewal Movement - SDPP
911019,,0,SRB,SDU,,Social Democratic Union,RS: Social Democratic Union - SDU
911020,,0,SRB,DHSS,,Christian Democratic Party of Serbia,RS: Christian Democratic Party of Serbia - DHSS
911021,,0,SRB,DSHV,,Democratic League of Croats in Vojvodina,RS: Democratic League of Croats in Vojvodina - DSHV
911022,,0,SRB,BDSS,,Bosniac Democratic Party of Sanjak,RS: Bosniac Democratic Party of Sanjak - BDSS
911023,,0,SRB,SLPS,,Social-Liberal Party of Sanjak,RS: Social-Liberal Party of Sanjak - SLPS
911024,,0,SRB,PUPS,,Party of United Pensioners of Serbia,RS: Party of United Pensioners of Serbia - PUPS
911025,,0,SRB,SPO,,Serbian Renewal Movement,RS: Serbian Renewal Movement - SPO
911026,,0,SRB,,,Serbian Unity Party,RS: Serbian Unity Party
911027,,0,SRB,,Gradanski savez Srbije,Civic Alliance of Serbia,RS: Civic Alliance of Serbia (Gradanski savez Srbije)
