dataset_party_id,partyfacts_id
GTM-gana,538
GTM-independent,2711
GTM-mas,5505
GTM-mln,4334
GTM-pan,1035
GTM-pid,4437
GTM-pp,524
GTM-pr,4425
GTM-une,1668
GIN-independent,3415
GIN-pedn,4277
GIN-pup,5780
GIN-rda,4737
GIN-rpg,4063
GIN-ridg,4062
GIN-upr,4276
GNB-independent,3421
GNB-paigc,4237
GNB-pcd,4234
GNB-prs,4236
GNB-prid,5158
GNB-pusd,4238
GNB-um,5915
GUY-afc,3882
GUY-gap,8711
GUY-independent,3427
GUY-pnc,4247
GUY-ppp,4246
GUY-ufc,4242
GUY-wpa,6067
HTI-aly,5274
HTI-aaa,6393
HTI-kid,7255
HTI-fl,5268
HTI-lespwa,5828
HTI-independent,4968
HTI-inite,5271
HTI-midh,8328
HTI-opl,5602
HTI-pun,5273
HTI-fhsd,5270
HTI-phtk,7253
HTI-rp,6069
HTI-uncrh,5829
HND-independent,2715
HND-dc,1460
HND-pinu,1703
HND-plh,593
HND-pnh,1416
HUN-fidesz,1691
HUN-fkgp,1294
HUN-independent,2719
HUN-kdnp,1412
HUN-mdf,1697
HUN-mszmp,299
HUN-mszp,1408
HUN-se,2721
HUN-szdsz,910
ISL-ab,1249
ISL-a,1325
ISL-bf,2517
ISL-f,964
ISL-independent,2722
ISL-sam,1396
ISL-sfvm,1517
ISL-sj,363
ISL-v,5454
ISL-graen,457
IND-cpi,408
IND-aiadmk,1571
IND-aitmc,2494
IND-agp,5177
IND-bjp,422
IND-bjd,2495
IND-dmk,17
IND-independent,2726
IND-ics,4104
IND-inc,1297
IND-jknc,
IND-jd,1207
IND-jdu,2498
IND-jp,4788
IND-ljp,
IND-ncp,2490
IND-pmk,
IND-rjd,2497
IND-sjp,8493
IND-sp,2491
IND-sam,
IND-sad,2499
IND-ss,2394
IND-tmcm,4080
IND-tdp,2492
IDN-independent,2731
IDN-nu,4499
IDN-pan,2557
IDN-pbb,4210
IDN-pdi,4498
IDN-pdip,2560
IDN-pd,2561
IDN-golkar,2304
IDN-hanura,4497
IDN-pkp,4476
IDN-pks,2556
IDN-pkb,2559
IDN-nasdem,4496
IDN-pni,4500
IDN-ppp,2558
IRN-aimsi,
IRN-cpss,
IRN-fflil,
IRN-icp,7818
IRN-inp,6650
IRN-irp,5802
IRN-rp,5803
IRN-sic,5360
IRN-wh,
IRN-abadgaran,6053
IRN-ilp,
IRN-mdp,7816
IRN-independent,4685
IRN-jrm,5359
IRN-adrv,
IRN-sdir,7819
IRN-firs,7821
IRN-iipf,6875
IRN-acc,6874
IRN-miro,
IRQ-adm,7837
IRQ-bg,3661
IRQ-bo,7827
IRQ-icp,7832
IRQ-idp,5615
IRQ-inl*,
IRQ-iuit,
IRQ-ah,7845
IRQ-hiwar,7471
IRQ-isci,5619
IRQ-inc,7121
IRQ-sm,5927
IRQ-ina,5614
IRQ-hab,5361
IRQ-ivp,
IRQ-iip,5618
IRQ-uai*,
IRQ-independent,3433
IRQ-itf,7595
IRQ-iia,5752
IRQ-nmdr,7690
IRQ-kdp,5617
IRQ-rl,8881
IRQ-puk,5616
IRQ-yekgirt,3767
IRL-ff,1055
IRL-fg,1288
IRL-greens,1775
IRL-independent,2735
IRL-lab,562
IRL-pd,924
ISR-haatz,8749
ISR-moria,2740
ISR-gil,3121
ISR-gahal,198
ISR-hhy,3677
ISR-hh,729
ISR-l,1036
ISR-hat,3127
ISR-ratz,1358
ISR-independent,2738
ISR-kadima,484
ISR-kulanu,3273
ISR-la,434
ISR-meretz,3131
ISR-mafdal,1447
ISR-mlh,3149
ISR-labor,1436
ISR-miham cp,1061
ISR-m,1664
ISR-o,555
ISR-rafi,396
ISR-shinui,557
ISR-shlomtzion,1394
ISR-shas,455
ISR-tami,1734
ISR-tehiya,638
ISR-dash,1380
ISR-tzomet,745
ISR-y,999
ISR-yh,1075
ISR-yesh,3128
ISR-yba,1053
ISR-yb,235
