dataset_party_id,partyfacts_id
188000027,4418
188000029,1367
188000032,2363
188000033,4231
188000035,4411
188000091,5147
188000042,864
188000071,4414
188000074,4436
188000043,4436
188000076,7724
188000045,257
188005003,5117
188000047,1199
188000081,4422
188000082,4419
188000050,4415
188000051,161
188000052,4420
384005004,7607
384000040,5096
384000015,5098
384000026,5097
384000031,5628
191000122,5933
191000013,1431
191005042,3918
191000055,5458
191000015,5458
191000017,799
191000056,72
191000057,214
191005148,8842
191000020,253
191000021,2062
191000023,2347
191000058,3143
191000097,4865
191000066,2523
191000045,2348
191000047,1475
191005123,3918
191005051,3918
191005038,3918
191000233,5934
191000235,2525
191000121,4867
196000019,3117
196000004,635
196000005,563
196005001,563
196000006,858
196000008,1817
196000009,1625
196000011,1028
196000012,1013
196000013,1191
196000015,1076
196000022,4883
196000016,321
203000080,2141
203000092,2047
203000011,177
203000058,177
203000014,1813
203000017,1171
203000023,952
203000027,2142
203005003,824
203000029,1728
203000030,1041
203000032,676
203000020,670
203000044,1008
203000045,466
203000046,1796
203000048,1349
203000056,1657
203000057,751
203000059,138
203000060,884
203000116,1707
203000063,2139
203000094,1272
203000099,254
203000071,1554
203000098,293
203000118,6125
203000072,1813
203000100,223
203000074,905
203000101,2049
203000102,1202
208000040,4070
208000002,1901
208000005,800
208000006,1022
208000007,277
208000008,1900
208000010,1507
208000009,932
208000011,1527
208000012,1912
208000013,1204
208000014,1914
208000015,1601
208000017,536
208000018,536
208000019,53
208000032,212
208003998,3016
208000034,212
208000020,1134
208000022,379
208000023,329
208003999,2659
208000024,1204
208000025,1136
262000005,5946
262000002,5148
262000001,5151
262005001,8807
262000004,7543
262000006,8809
262000003,8808
212000001,3746
212000002,3744
212000003,3745
214000006,4184
214000068,4184
214000011,4187
214000012,4186
214000071,5948
214000019,4197
214000021,4189
214000027,4196
214000033,1225
214000038,4190
214000077,5950
214000042,4185
214000046,4192
214000049,4195
214000051,7429
214000052,3924
214000053,194
214000055,1441
214000057,4194
214000083,7544
214000058,194
214000063,4193
214000064,4188
218000002,3925
218000003,4348
218000004,1405
218000005,7487
218000007,4198
218000014,4044
218000017,827
218000020,4269
218000029,4044
218000030,4203
218000033,4201
218000034,4202
218000039,827
218000044,4347
218000045,4199
218000046,4349
218000047,4272
218000048,797
218000049,4270
218000050,1521
218000051,4200
218000052,1131
218000053,1450
218000054,950
218000056,885
218000055,885
218000057,246
218000062,246
218000058,4271
218000059,1405
222000018,1709
222000006,1456
222000029,4226
222000015,686
222000007,4227
222000010,978
222000012,4224
222000030,3927
222000014,4225
222000016,686
222000001,11
222000008,4228
222000020,11
222000003,4229
226000001,3825
226000002,3821
226000003,3824
226000004,3826
226000008,3827
233000006,533
233000038,4094
233000007,1556
233000008,790
233000009,174
233000018,110
233000019,3929
233000012,1299
233000013,821
233000039,3271
233000021,1040
233000022,685
233000023,779
233000028,1150
233000030,83
233000032,1150
233000033,1150
233000034,429
233000035,491
233005003,779
233005006,3929
233000036,67
233000037,1975
231000001,4326
231000013,5629
231005003,4322
231000034,4321
234000006,5527
234000009,5530
234000010,5530
234000013,5526
234000016,5425
234000003,5524
234000014,5526
234000001,5529
234000002,5528
234000011,5424
234000008,5523
234000015,5522
234000005,5525
242000003,5795
242000004,4888
242000006,5884
242000007,5794
246000001,166
246000002,725
246000003,1862
246000004,495
246000006,901
246000007,249
246000008,901
246000009,1905
246000038,1689
246000010,3202
246000011,1229
246000013,1904
246000014,3684
246000015,1096
246000017,3688
246000018,901
246000019,703
246000020,1928
246000045,703
246000021,3202
246000023,806
246000024,1303
246000025,1904
246000026,1904
246000027,1164
246000028,1044
246000029,479
250000001,5953
250000032,4363
250000007,433
250000008,1273
250005014,5857
250000009,1108
250000012,3156
250000030,1255
250000017,1251
250000018,1783
250000019,1478
250005005,1478
250000023,509
250000029,1595
266000019,7554
266000023,5200
266000030,8828
266000041,5763
270000001,3716
270000007,5954
270000003,3717
270000004,3718
270000005,5084
270000006,3715
268000017,5885
268000003,2988
268005005,2988
268000008,2153
268000014,2172
268000031,2172
276000096,1976
276000001,8722
276000003,61
276000005,1816
276000007,1375
276000009,2070
276000008,1731
276000011,1826
276000013,4161
276000014,2111
276000015,2125
276000017,1502
276000020,1151
276000023,1831
276000021,1826
276000022,1827
276000024,1830
276000025,10
276000099,1545
276000073,1545
