country,id,accronym,party_name,party_name_english
Latvia,8711,LPP-LC,Latvijas Pirmā Partija - Latvijas Ceļš,Latvia's First Party - Latvia's Way
Latvia,8712,PCTVL,Par Cilvēka Tiesībām Vienotā Latvija,For Human Rights in United Latvia
Lithuania,8801,TS-LKD,Tėvynės Sąjunga - Lietuvos Krikščionys Demokratai,Homeland Union - Christian Democrats of Lithuania
Lithuania,8802,TPP,Tautos Prisikėlimo Partija,National Revival Party
Lithuania,8803,TT,Tvarka ir teisingumas,Order and Justice
Lithuania,8804,LSDP,Lietuvos socialdemokratu partija,Social Democratic Party of Lithuania
Lithuania,8805,DP,Darbo partija,Labour Party
Lithuania,8806,LLRA,Lietuvos lenku rinkimu akcija,Election Action of Lithuania's Poles
Lithuania,8807,LRS,Lietuvos rusų sąjunga,Lithuanian Russian Union
Macedonia,8901,VMRO-DPMNE,Vnatrešna makedonska revolucionerna organizacija - Demokratska partija za makedonsko nacionalno edinstvo,Internal Macedonian Revolutionary Organization - Democratic Party for Macedonian National Unity
Macedonia,8902,SDSM,Socijaldemokratski sojuz na Makedonija,Social Democratic Union of Macedonia
Macedonia,8903,DUI,Demokratska unija za integracija,Democratic Union for Integration
Macedonia,8904,DPA,Demokratska unija na Albancite,Democratic Party of Albanians
Macedonia,8905,NDP,Nacionalna demokratska prerodba,National Democratic Revival
Macedonia,8906,DPT,Demokratska Partija na Turcite na Makedonija,Democratic Party of Turks
Macedonia,8907,DPSM,Demokratska Partija na Srbite vo Makedonija,Democratic Party of Serbs in Macedonia
Moldova,9001,PCRM,Partidul Comuniştilor din Republica Moldova,Party of Communists of the Republic of Moldova
Moldova,9002,PLDM,Partidul Liberal Democrat din Moldova,Liberal Democratic Party of Moldova
Moldova,9003,PDM,Partidul Democrat din Moldova,Democratic Party of Moldova
Moldova,9004,PL,Partidul Liberal,Liberal Party
Moldova,9005,MSR,"Mişcarea social-politica ""Ravnopravie""","Social-political Movement ""Ravnopravie (Equality)"""
Montenegro,9101,DPS CG,Demokratska partija socijalista Crne Gore,Democratic Party of Socialists of Montenegro
Montenegro,9102,SNP CG,Socijalistička narodna partija Crne Gore,Socialist People's Party of Montenegro
Montenegro,9103,NOVA,Nova srpska demokratija,New Serbian Democracy
Montenegro,9104,DUA,Demokratska unija Albanaca,Democratic Union of Albanians
Montenegro,9105,FORCA,Nova demokratska snaga - FORCA,New Democratic Power -FORCA
